DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,28,16,0.044,0.004,3.10,NA,28,27.42,3.33,255.14,30.1
OCT,28,17,0.045,0.004,3.12,NA,38,27.6,3.21,264.07,27.12
OCT,28,18,0.044,0.004,3.16,NA,40,26.12,3.2,262.35,29.48
OCT,28,19,0.034,0.004,3.38,NA,49,23.47,2.5,264.69,33.52
OCT,28,20,0.016,0.005,3.72,NA,67,22.1,2.13,255.16,36.95
OCT,28,21,0.015,0.006,3.50,NA,91,20.97,1.76,177.59,39.91
OCT,28,22,0.017,0.006,3.46,NA,89,19.28,2,200.79,46.41
OCT,28,23,0.022,0.005,3.20,NA,63,18.43,2.3,261.29,52.73
OCT,29,0,0.019,0.005,3.23,NA,35,17.51,1.74,258.44,56.15
OCT,29,1,0.010,0.004,3.27,NA,25,16.78,1.58,267.26,58.52
OCT,29,2,0.002,0.003,3.31,NA,48,15.77,1.7,213.5,59.7
OCT,29,3,0.007,0.003,3.24,NA,47,15.35,1.34,248.11,61.18
OCT,29,4,0.010,0.004,3.16,NA,44,14.97,1.43,268.48,65.68
OCT,29,5,0.012,0.003,3.16,NA,34,14.36,1.56,231.23,69.39
OCT,29,6,0.001,0.005,3.35,NA,56,12.88,1.77,97.43,75.64
OCT,29,7,0.000,0.006,3.35,NA,64,11.77,1.72,133.94,77.28
OCT,29,8,0.001,0.006,3.42,NA,76,14.01,1.7,129.33,73.72
OCT,29,9,0.006,0.007,3.44,NA,125,17.79,2.26,101.69,63
OCT,29,10,0.019,0.008,3.26,NA,71,21.98,1.7,162.72,54.7
OCT,29,11,0.038,0.008,3.28,NA,56,24.79,1.82,226.37,42.4
OCT,29,12,0.065,0.024,3.27,NA,53,26.78,1.98,162.23,34.71
OCT,29,13,0.068,0.019,3.13,NA,54,27.83,2.47,179.89,31.69
OCT,29,14,0.060,0.011,3.08,NA,47,29.23,2.73,171.7,25.66
OCT,29,15,0.053,0.005,3.07,NA,30,29.8,3.19,92.08,21.75
OCT,29,16,0.059,0.004,3.09,NA,37,30.19,2.32,132.67,22.12
OCT,29,17,0.056,0.004,3.15,NA,41,29.47,3.12,90.85,22.04
OCT,29,18,0.044,0.005,3.18,NA,52,26.33,4.6,49.9,26.61
OCT,29,19,0.038,0.005,3.22,NA,57,24.47,4.91,45.32,29.46
OCT,29,20,0.032,0.005,3.25,NA,59,22.68,4.26,64.62,38.15
OCT,29,21,0.033,0.007,3.20,NA,59,21.05,4.74,47.82,46.06
OCT,29,22,0.033,0.008,3.18,NA,52,19.35,3.79,76.64,51.31
OCT,29,23,0.030,0.005,3.11,NA,48,17.07,5.47,97.51,60.16
OCT,30,0,0.024,0.004,3.08,NA,39,15.22,5.65,90.61,67.76
OCT,30,1,0.021,0.004,3.06,NA,35,14.07,5.79,85.56,72.04
OCT,30,2,0.022,0.003,3.04,NA,30,13.72,6.08,78.24,71.69
OCT,30,3,0.022,0.006,3.05,NA,22,13.98,4.6,75.74,70.62
OCT,30,4,0.022,0.008,3.05,NA,18,13.65,4.13,71.78,71.2
OCT,30,5,0.024,0.004,3.03,NA,20,12.73,3.89,73.29,72.69
OCT,30,6,0.025,0.004,3.05,NA,13,12.42,3.53,69.78,72.64
OCT,30,7,0.021,0.005,3.19,NA,19,12.46,3.06,61.35,72.95
OCT,30,8,0.021,0.007,3.28,NA,28,14.36,3.43,59.83,66.99
OCT,30,9,0.024,0.005,3.16,NA,29,16.74,4.98,70.52,57.94
OCT,30,10,0.030,0.004,3.13,NA,37,17.88,5.56,76.11,52.8
OCT,30,11,0.037,0.004,3.11,NA,34,19.18,5.26,65.08,47.59
OCT,30,12,0.041,0.007,3.15,NA,37,21.02,5.02,66.11,41.7
OCT,30,13,0.045,0.010,3.13,NA,41,23.04,4.63,65.98,35.74
OCT,30,14,0.047,0.008,3.15,NA,49,24.16,5.15,67.76,32.44
OCT,30,15,0.046,0.017,3.15,NA,46,25.43,4.54,80.07,29.54
OCT,30,16,0.047,0.014,3.17,NA,44,26.42,3.66,88.08,26.97
OCT,30,17,0.048,0.009,3.16,NA,24,26.51,3.75,83.28,25.66
OCT,30,18,0.039,0.008,3.26,NA,48,24.65,4.46,59.44,28.43
OCT,30,19,0.032,0.007,3.24,NA,46,21.68,4.92,48.27,33.06
OCT,30,20,0.030,0.005,3.17,NA,49,19.77,5.12,47.24,35.7
OCT,30,21,0.027,0.007,3.18,NA,47,17.98,3.97,60.41,37.63
OCT,30,22,0.021,0.005,3.18,NA,44,16.26,2.88,69.83,43.36
OCT,30,23,0.020,0.006,3.22,NA,44,14.85,3.13,71.78,45.91
OCT,31,0,0.021,0.007,3.10,NA,35,13.86,2.39,74.72,47.77
OCT,31,1,0.022,0.009,3.04,NA,38,13.15,2.75,83.42,49.33
OCT,31,2,0.024,0.008,3.01,NA,23,12.76,3.07,97.39,48.27
OCT,31,3,0.027,0.003,3.00,NA,21,12.17,3.41,92.41,48.73
OCT,31,4,0.029,NA,2.99,NA,21,11.44,3.5,102.67,48.96
OCT,31,5,0.029,NA,2.99,NA,15,10.78,3.51,107.46,51.27
OCT,31,6,0.025,NA,3.04,NA,20,10.25,2.97,94.05,54.29
OCT,31,7,0.020,NA,3.18,NA,24,9.77,3.17,101.89,57.41
OCT,31,8,0.016,NA,3.21,NA,41,11.32,3.23,106.18,56.77
OCT,31,9,0.020,NA,3.20,NA,49,14.8,2.62,78.97,46.8
OCT,31,10,0.026,0.004,3.10,NA,55,18.67,2.87,102.88,35.23
OCT,31,11,0.037,NA,3.07,NA,32,20.79,3.4,99.25,29.34
OCT,31,12,0.043,NA,3.05,NA,33,22.85,3.11,119.31,29.21
OCT,31,13,0.050,0.003,3.07,NA,28,25.54,2.14,162.78,30.28
OCT,31,14,0.057,0.004,3.09,NA,43,26.5,2.41,164.56,29.79
OCT,31,15,0.057,0.004,3.07,NA,40,27.38,2.75,139.35,27.97
OCT,31,16,0.056,0.002,3.10,NA,39,28.45,2.11,183.83,25.65
OCT,31,17,0.056,0.004,3.15,NA,36,28.14,2.07,213.51,25.33
OCT,31,18,0.055,0.010,3.34,NA,48,26.45,1.88,262.7,27.2
OCT,31,19,0.041,0.008,4.01,NA,63,23.55,1.63,268.53,31.44
OCT,31,20,0.014,0.006,4.05,NA,88,22.48,2.78,145.54,33.43
OCT,31,21,0.022,0.003,3.21,NA,52,21.38,4.09,68.27,32.76
OCT,31,22,0.020,0.003,3.23,NA,40,19.81,3.43,70.63,35.87
OCT,31,23,0.019,0.010,3.09,NA,35,18.37,4.71,89.2,37.03
