DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,28,1,0.0005,0.019,4.191,NA,165,16,1.4,174.47,38.77
NOV,28,2,0.0005,0.0175,3.978,NA,134,14.6,1.1,232.79,39.04
NOV,28,3,0.0002,0.0131,3.8,NA,106,13.9,1.6,193.24,43.45
NOV,28,4,0.0012,0.0468,3.816,NA,158,12.7,1.2,156.75,46.33
NOV,28,5,0.0005,0.0098,3.609,NA,108,11.9,1.9,116.21,51.61
NOV,28,6,NA,0.0097,3.668,NA,108,11.1,1.5,146.97,51.48
NOV,28,7,NA,0.0127,3.656,NA,117,11.1,1.7,110.94,52.92
NOV,28,8,NA,0.0092,3.691,NA,128,10.9,2.2,115.42,55.53
NOV,28,9,0.0019,0.0317,3.912,NA,125,14.5,2.5,104.17,46.92
NOV,28,10,0.0108,0.0145,3.563,NA,105,18.6,2.5,120.44,41.66
NOV,28,11,0.0305,0.0184,3.44,NA,96,22.8,1.9,128.59,34.88
NOV,28,12,0.0518,0.0049,3.401,NA,72,25.7,2,221.29,30.41
NOV,28,13,0.0646,0.0037,3.322,NA,65,27.4,2.1,233.85,26.68
NOV,28,14,0.0693,0.0026,3.286,NA,54,28.2,2.5,243.77,23.30
NOV,28,15,0.0661,0.0013,3.251,NA,44,29.3,2.4,215.69,19.86
NOV,28,16,0.0664,0.0008,3.328,NA,38,29.1,2.9,254.37,18.46
NOV,28,17,0.0679,0.0004,3.265,NA,48,28.2,2.5,240.92,19.18
NOV,28,18,0.0574,NA,3.448,NA,46,26.4,2,254.32,19.98
NOV,28,19,0.0266,0.0005,4.537,NA,83,23,1.5,228.26,22.41
NOV,28,20,0.0016,0.0029,6.651,NA,166,21.1,1.5,209.34,27.42
NOV,28,21,0.0004,0.0042,5.785,NA,194,20.4,1.6,267.63,31.91
NOV,28,22,0.011,0.0035,4.426,NA,126,19.3,1.9,266.97,34.28
NOV,28,23,0.0281,0.0028,3.701,NA,83,18.7,2.7,276.91,37.20
NOV,29,0,0.0187,0.0023,3.937,NA,80,17.3,1.7,263.05,39.84
NOV,29,1,0.0087,0.0031,4.051,NA,86,15.9,1.6,236.46,43.07
NOV,29,2,0.0133,0.0044,3.809,NA,95,15.2,1.5,186.13,47.26
NOV,29,3,0.0108,0.0045,3.68,NA,89,14.3,1.8,101.84,53.07
NOV,29,4,0.0066,0.0056,3.61,NA,83,12.8,1.3,105.85,53.77
NOV,29,5,0.0046,0.0063,3.611,NA,94,12.4,1.3,153.36,55.03
NOV,29,6,0.0016,0.0054,3.686,NA,94,11.8,1.1,167.11,57.34
NOV,29,7,0.0026,0.0072,3.717,NA,82,11.3,1.5,113.47,62.07
NOV,29,8,0.0007,0.0065,4.005,NA,105,11.4,1.8,109.33,62.33
NOV,29,9,0.0072,0.0087,3.758,NA,123,14.8,2.5,102.48,53.16
NOV,29,10,0.0251,0.006,3.602,NA,89,18.6,2.8,98.56,50.65
NOV,29,11,0.0409,0.0104,3.399,NA,65,23.1,1.6,139.74,43.92
NOV,29,12,0.0512,0.0086,3.389,NA,60,25.3,2,169.15,36.30
NOV,29,13,0.0549,0.0058,3.345,NA,50,26.5,2.9,235.13,31.41
NOV,29,14,0.0527,0.0033,3.301,NA,41,27.6,2.9,267.61,27.68
NOV,29,15,0.0539,0.0022,3.282,NA,41,28.2,3.1,248.58,24.41
NOV,29,16,0.0551,0.0016,3.285,NA,43,28.3,3.6,270.94,20.66
NOV,29,17,0.0566,0.0009,3.318,NA,40,27.7,3.2,261.00,21.89
NOV,29,18,0.0532,0.001,3.389,NA,46,26.1,3.2,243.16,23.17
NOV,29,19,0.0454,0.001,3.565,NA,62,23.2,2.7,239.30,26.21
NOV,29,20,0.0406,0.0015,3.574,NA,69,21.5,3.2,261.32,29.51
NOV,29,21,0.0382,0.0014,3.588,NA,68,20.2,2.7,251.17,33.02
NOV,29,22,0.0256,0.0016,3.811,NA,78,18.7,2,228.66,36.80
NOV,29,23,0.0184,0.0019,4.137,NA,99,17.2,1.3,211.12,40.70
NOV,30,0,0.0099,0.0022,3.852,NA,93,16.3,2.2,161.80,45.24
NOV,30,1,0.0143,0.0039,3.337,NA,85,15.2,3.7,100.56,59.99
NOV,30,2,0.0182,0.0031,3.246,NA,54,14.8,3.3,87.73,70.62
NOV,30,3,0.0148,0.0028,3.22,NA,42,13.8,3.2,91.40,73.69
NOV,30,4,0.0161,0.0024,3.193,NA,32,13.3,3.2,92.79,77.43
NOV,30,5,0.0169,0.0022,3.194,NA,29,12.9,3,86.61,79.34
NOV,30,6,0.015,0.002,3.24,NA,32,12.3,2.8,89.98,81.66
NOV,30,7,0.0095,0.002,3.318,NA,31,11.9,2.6,96.00,83.59
NOV,30,8,0.0047,0.0021,3.473,NA,37,12.1,2.6,90.96,83.82
NOV,30,9,0.0115,0.0022,3.352,NA,43,15.2,3.4,87.12,73.40
NOV,30,10,0.0192,0.002,3.315,NA,51,17.6,5.2,93.13,62.57
NOV,30,11,0.0234,0.002,3.322,NA,54,19.5,5.2,96.80,54.88
NOV,30,12,0.0317,0.0018,3.342,NA,52,21.3,4.3,96.82,49.15
NOV,30,13,0.0409,0.0024,3.332,NA,54,23,3.4,86.86,42.37
NOV,30,14,0.0482,0.0022,3.27,NA,48,24.5,2.5,143.12,36.29
NOV,30,15,0.051,0.003,3.298,NA,52,26.1,2,163.35,31.96
NOV,30,16,0.0553,0.0021,3.298,NA,62,26,2.5,205.10,31.00
NOV,30,17,0.0562,0.0013,3.318,NA,50,25.1,2,251.63,31.63
NOV,30,18,0.0477,0.0017,3.537,NA,47,23.6,2.2,220.72,33.31
NOV,30,19,0.031,0.0014,3.489,NA,69,20.1,3.9,79.72,43.54
NOV,30,20,0.0197,0.0022,3.467,NA,75,17.1,3.8,69.86,49.31
NOV,30,21,0.0198,0.0014,3.338,NA,59,14.2,4.1,86.17,55.28
NOV,30,22,0.0216,0.0005,3.247,NA,46,12,5,83.29,60.40
NOV,30,23,0.0227,NA,3.207,NA,34,10.5,4.8,83.85,64.09
