MES,DIA,HORA,O3,SO2,NO2,CO,PM10,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,RADSOL
JUL,11.0,10.0,0.028,0.003,0.017,1.55,20.0,23.757233,2.297803,253.239067,73.30765,657.181167
JUL,11.0,11.0,0.041,0.003,0.016,1.54,31.0,24.955967,2.513443,271.58,58.270967,802.300333
JUL,11.0,12.0,0.055,0.003,0.008,1.50,21.0,26.296067,2.405458,252.746867,48.706333,984.582
JUL,11.0,13.0,0.058,0.003,0.005,1.42,9.0,27.2646,2.642307,226.953167,40.756767,1015.195833
JUL,11.0,14.0,0.062,0.003,0.005,1.37,17.0,27.55035,2.831055,231.877333,36.850833,1017.040167
JUL,11.0,15.0,0.059,0.003,0.004,1.35,8.0,28.604783,2.396093,196.295,31.4389,949.451
JUL,11.0,16.0,0.062,0.003,0.004,1.33,10.0,29.345083,2.857735,217.288,29.4839,809.239833
JUL,11.0,17.0,0.063,0.003,0.004,1.32,8.0,29.41685,2.710508,223.6625,28.441317,591.3655
JUL,11.0,18.0,0.064,0.003,0.005,1.36,15.0,29.164367,2.87735,224.013667,28.280233,377.024833
JUL,11.0,19.0,0.059,0.003,0.006,1.43,25.0,27.828867,2.943815,220.392,28.507783,160.61535
JUL,11.0,20.0,0.044,0.003,0.011,1.57,31.0,25.778733,2.464673,208.9355,31.144417,13.928557
JUL,11.0,21.0,0.042,0.003,0.008,1.44,37.0,23.464133,3.005737,226.2795,48.351067,10.761173
JUL,11.0,22.0,0.034,0.003,0.011,1.43,21.0,22.025867,2.413397,162.418667,55.280467,3.978062
JUL,11.0,23.0,0.022,0.003,0.01,1.40,60.0,20.7253,3.461477,158.424983,65.64645,7.543152
JUL,12.0,0.0,0.029,0.003,0.005,1.34,24.0,20.59815,3.656735,173.694333,65.645033,7.5336
JUL,12.0,2.0,0.046,0.003,0.005,1.32,9.0,18.426267,2.445045,251.124833,66.069683,7.7051
JUL,12.0,3.0,0.041,0.003,0.004,1.31,20.0,17.306417,2.852612,274.539,70.938633,2.636748
JUL,12.0,4.0,0.039,0.003,0.006,1.31,12.0,17.133417,3.04249,293.615333,71.783567,7.254905
JUL,12.0,5.0,0.037,0.003,0.006,1.34,21.0,16.373917,4.118145,299.350333,78.516983,8.869865
JUL,12.0,6.0,0.034,0.003,0.01,1.51,22.0,16.1344,3.075187,290.068,78.050833,4.468138
JUL,12.0,7.0,0.025,0.003,0.014,1.53,23.0,16.297617,2.914055,259.738667,77.3555,34.462512
JUL,12.0,8.0,0.034,0.003,0.01,1.53,28.0,18.259617,2.34043,238.7665,72.3194,184.475683
JUL,12.0,9.0,0.041,0.003,0.008,1.47,10.0,22.629567,1.61181,236.26515,60.331583,421.1955
JUL,12.0,10.0,0.046,0.012,0.01,1.55,23.0,25.258167,1.82228,221.91225,49.2527,662.677833
JUL,12.0,11.0,0.062,0.019,0.009,1.53,36.0,26.630967,2.093578,207.60495,41.414683,846.812333
JUL,12.0,12.0,0.072,0.011,0.007,1.51,34.0,27.432233,2.191938,205.948333,39.11455,923.480833
JUL,12.0,13.0,0.071,0.007,0.006,1.45,23.0,28.425517,2.490388,203.013167,35.263167,1014.0265
JUL,12.0,14.0,0.073,0.006,0.005,1.38,16.0,28.89795,2.802732,180.056833,34.668167,861.185
JUL,12.0,15.0,0.073,0.006,0.005,1.39,15.0,29.215917,2.521965,185.901083,32.473567,797.599167
JUL,12.0,16.0,0.072,0.006,0.004,1.38,16.0,29.912883,3.067588,166.33995,31.396,672.897
JUL,12.0,17.0,0.073,0.006,0.005,1.39,22.0,29.838417,2.465725,179.327183,30.910567,379.636683
JUL,12.0,18.0,0.057,0.02,0.013,1.89,29.0,27.3992,3.492613,153.170583,32.445183,102.237183
JUL,12.0,19.0,0.051,0.008,0.013,1.66,26.0,24.976267,3.24459,259.6742,42.066817,43.8869
JUL,12.0,20.0,0.037,0.004,0.019,1.72,38.0,22.116367,2.870652,288.509833,53.213817,7.415215
JUL,12.0,21.0,0.04,0.004,0.016,1.68,29.0,21.917217,2.269995,256.886633,50.515583,3.44918
JUL,12.0,22.0,0.034,0.013,0.015,1.82,31.0,22.2678,1.968022,166.224933,46.859767,3.431568
JUL,12.0,23.0,0.03,0.01,0.012,1.46,31.0,22.2128,2.225805,74.210467,44.290833,6.803828
JUL,13.0,0.0,0.018,0.007,0.017,1.49,33.0,21.162017,2.089735,116.8839,51.62465,6.257055
JUL,13.0,1.0,0.018,0.005,0.011,1.37,29.0,20.457017,2.557365,102.557,50.540017,3.568257
JUL,13.0,2.0,0.02,0.004,0.008,1.34,21.0,19.118367,1.606325,122.033117,52.006133,5.971868
JUL,13.0,3.0,0.016,0.016,0.007,1.37,17.0,18.843933,2.777325,100.466567,55.388783,5.391342
JUL,13.0,4.0,0.025,0.009,0.004,1.31,21.0,18.139417,5.02472,47.518283,62.50885,6.615113
JUL,13.0,5.0,0.019,0.018,0.008,1.33,26.0,17.462283,2.989073,113.994433,65.104017,7.267732
JUL,13.0,6.0,0.01,0.007,0.011,1.37,30.0,15.748467,2.107933,153.277333,70.33445,11.419268
JUL,13.0,7.0,0.004,0.005,0.015,1.55,38.0,15.6186,1.348415,124.328833,74.00935,38.42033
JUL,13.0,8.0,0.008,0.005,0.013,1.59,49.0,19.070917,1.691297,156.881717,64.41615,218.06555
JUL,13.0,9.0,0.021,0.004,0.01,1.49,44.0,21.34995,3.149108,95.088467,56.342317,467.239833
JUL,13.0,10.0,0.033,0.004,0.006,1.40,33.0,23.32295,3.635472,79.8174,49.954633,674.583
JUL,13.0,11.0,0.045,0.004,0.005,1.38,26.0,24.03365,3.273517,100.549833,46.3006,744.481167
JUL,13.0,12.0,0.053,0.004,0.004,1.38,25.0,25.92255,2.667032,123.308117,40.46515,936.439333
JUL,13.0,13.0,0.065,0.004,0.005,1.37,25.0,26.956067,3.06504,154.621933,36.999533,952.107333
JUL,13.0,14.0,0.062,0.003,0.004,1.34,20.0,28.216383,2.628218,154.275517,28.5526,1037.210167
JUL,13.0,15.0,0.066,0.003,0.003,1.31,8.0,28.957233,2.745278,163.323783,26.609433,918.716
JUL,13.0,16.0,0.068,0.003,0.004,1.34,19.0,28.927767,2.76848,121.298833,25.770267,545.7045
JUL,13.0,17.0,0.072,0.004,0.004,1.34,18.0,28.6739,3.144938,181.159117,27.743383,504.476333
JUL,13.0,18.0,0.058,0.003,0.006,1.42,23.0,26.925267,3.720198,198.814667,33.025817,168.564683
JUL,13.0,19.0,0.044,0.003,0.012,1.66,32.0,24.944083,2.529038,249.461667,34.6529,52.64235
JUL,13.0,20.0,0.042,0.004,0.009,1.49,20.0,23.444067,3.633913,97.098817,43.422283,11.606523
JUL,13.0,21.0,0.038,0.003,0.009,1.43,23.0,22.044183,3.324052,109.843483,47.542133,7.439382
JUL,13.0,22.0,0.037,0.003,0.009,1.42,25.0,20.978017,3.46642,97.080683,55.833383,3.465258
JUL,13.0,23.0,0.032,0.003,0.008,1.38,21.0,19.7401,3.768518,103.375683,60.820567,2.474093
JUL,14.0,0.0,0.036,0.003,0.006,1.35,18.0,18.018933,3.329877,108.65085,69.420167,3.735068
JUL,14.0,1.0,0.039,0.003,0.006,1.35,26.0,17.28105,2.34121,95.03975,72.954683,4.887473
JUL,14.0,2.0,0.029,0.003,0.008,1.35,13.0,17.097,1.667107,100.480283,72.1408,4.36267
JUL,14.0,3.0,0.026,0.003,0.008,1.37,11.0,16.63935,1.390113,113.012067,73.769683,2.590473
JUL,14.0,4.0,0.016,0.004,0.013,1.38,18.0,16.384033,1.359202,107.057583,74.271867,5.866798
JUL,14.0,5.0,0.008,0.007,0.019,1.38,29.0,15.798067,1.139195,146.618533,74.153017,3.49783
JUL,14.0,6.0,0.007,0.006,0.018,1.45,26.0,15.562883,1.43429,131.978817,74.4464,4.214752
JUL,14.0,7.0,0.003,0.005,0.019,1.58,42.0,15.474817,1.366825,111.37585,76.542733,35.162902
JUL,14.0,8.0,0.005,0.004,0.017,1.60,58.0,18.901583,1.598603,125.907967,69.0811,208.387
JUL,14.0,18.0,0.034,0.028,0.007,0.73,30.0,25.598217,5.11677,55.231767,35.5636,142.0575
JUL,14.0,19.0,0.034,0.009,0.007,0.68,54.0,25.410033,4.59291,61.6246,33.6476,90.839367
JUL,14.0,20.0,0.041,0.005,0.006,0.64,87.0,21.232917,4.639358,151.141517,53.493117,4.580238
JUL,14.0,21.0,0.033,0.004,0.007,0.66,28.0,19.155833,3.452605,131.848333,64.55355,3.682502
JUL,14.0,22.0,0.027,0.004,0.007,0.65,25.0,18.57305,2.931898,105.196183,69.822017,3.696182
JUL,14.0,23.0,0.026,0.003,0.007,0.63,18.0,18.3509,2.189122,132.809017,71.15925,6.593693
JUL,15.0,0.0,0.028,0.003,0.006,0.60,16.0,18.32785,2.187548,120.648417,70.684867,7.757533
JUL,15.0,1.0,0.027,0.003,0.006,0.62,16.0,17.846217,2.319237,138.7504,72.616917,6.623443
JUL,15.0,2.0,0.031,0.003,0.005,0.59,19.0,16.73945,1.991343,170.886167,77.527167,2.677087
JUL,15.0,3.0,0.026,0.003,0.005,0.60,18.0,16.209183,1.137598,106.109933,81.399833,6.149158
JUL,15.0,4.0,0.012,0.004,0.011,0.62,22.0,16.530783,2.033117,66.445267,78.700517,6.743317
JUL,15.0,5.0,0.025,0.004,0.014,0.61,21.0,15.936683,2.1952,86.797067,75.189983,3.900733
JUL,15.0,6.0,0.004,0.004,0.015,0.67,26.0,14.904083,1.903278,119.380217,76.976717,3.933377
JUL,15.0,7.0,0.006,0.004,0.011,0.77,35.0,14.712467,2.879293,106.568367,81.54325,27.33611
JUL,15.0,8.0,0.012,0.004,0.01,0.84,38.0,16.94765,2.3862,97.84205,75.597133,148.507967
JUL,15.0,9.0,0.021,0.004,0.006,0.68,42.0,19.4654,3.316892,99.6648,64.45975,313.931167
JUL,15.0,10.0,0.032,0.004,0.005,0.66,24.0,21.9518,4.36979,79.566883,51.574533,603.545
JUL,15.0,11.0,0.036,0.003,0.004,0.65,29.0,23.831083,4.032243,86.967433,46.273067,900.465833
JUL,15.0,12.0,0.042,0.004,0.004,0.66,51.0,24.471217,3.539875,103.838617,43.706533,628.803833
JUL,15.0,13.0,0.048,0.003,0.004,0.65,125.0,25.7056,3.246163,140.02685,41.193267,792.981333
JUL,15.0,14.0,0.05,0.003,0.004,0.68,114.0,26.719683,2.896677,123.311,37.378783,848.956
JUL,15.0,15.0,0.051,0.003,0.003,0.63,88.0,28.107833,2.881293,120.660333,32.911267,1050.533667
JUL,15.0,16.0,0.058,0.003,0.004,0.63,56.0,27.873917,4.010775,165.4245,36.687217,715.569833
JUL,15.0,17.0,0.043,0.003,0.006,0.73,34.0,24.9516,3.27055,231.66645,43.841383,152.084
JUL,15.0,18.0,0.03,0.003,0.01,0.86,23.0,23.104167,3.139072,283.945667,50.7432,93.421867
JUL,15.0,19.0,0.032,0.004,0.009,0.85,25.0,22.466717,1.77327,210.34235,52.46785,30.27255
JUL,15.0,20.0,0.034,0.003,0.009,0.76,30.0,21.912667,3.297152,106.106917,55.974467,8.210872
JUL,15.0,21.0,0.029,0.003,0.007,0.70,21.0,20.62645,4.330823,89.269033,57.817767,2.457785
JUL,15.0,22.0,0.027,0.003,0.005,0.66,43.0,18.098617,5.497945,84.41345,76.718483,2.581465
JUL,15.0,23.0,0.023,0.003,0.005,0.65,19.0,16.2734,4.363865,77.437567,92.164317,5.036283
JUL,16.0,0.0,0.023,0.003,0.005,0.61,7.0,16.666367,3.774247,80.621717,89.740283,2.783233
JUL,16.0,1.0,0.023,0.003,0.004,0.60,6.0,16.800267,3.110102,97.581383,87.012667,2.70398
JUL,16.0,2.0,0.022,0.003,0.005,0.59,11.0,16.853867,3.04648,101.691433,84.698633,2.698685
JUL,16.0,3.0,0.02,0.003,0.006,0.58,11.0,16.83195,2.638103,102.572933,81.977567,2.651548
JUL,16.0,4.0,0.018,0.003,0.006,0.60,14.0,16.4783,2.625322,105.39685,83.591167,2.681907
JUL,16.0,5.0,0.011,0.003,0.008,0.61,16.0,16.436983,2.550798,105.392967,86.7388,2.709822
JUL,16.0,6.0,0.008,0.003,0.012,0.69,27.0,16.847833,2.295777,107.108867,84.945683,2.662833
JUL,16.0,7.0,0.007,0.003,0.011,0.69,28.0,16.723967,1.56591,125.109683,85.0882,7.252058
JUL,16.0,8.0,0.009,0.003,0.011,0.78,25.0,17.56925,1.704767,105.065333,82.343317,80.772133
JUL,16.0,9.0,0.014,0.004,0.009,0.75,21.0,19.603217,2.427722,98.950417,72.729767,238.6965
JUL,16.0,10.0,0.024,0.004,0.005,0.72,15.0,21.6013,3.55538,82.78125,61.816383,540.199667
