DATOS HORARIOS 2018_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
SEP,11,4,4.22,NA,NA,17.12,7.26,2.12,129.74,16.97,98.44,NA,2.98
SEP,11,5,0.59,NA,NA,20.36,5.15,2.08,138.71,16.87,98.51,NA,2.96
SEP,11,6,1.45,NA,NA,19.36,6.58,2.15,115.23,17.18,98.23,NA,2.96
SEP,11,7,0.2,NA,NA,20.47,10.76,2.35,117.74,17.36,97.9,NA,6.01
SEP,11,8,0.2,NA,NA,17.22,12.97,2.24,117.16,17.83,97.99,NA,61.42
SEP,11,9,0.2,NA,NA,14.51,13.74,1.98,138.14,19.75,95.51,NA,213.44
SEP,11,10,10.6,NA,NA,6.97,15.57,2.3,136.96,23.31,86.01,NA,457.54
SEP,11,11,17.09,NA,NA,2.7,6.5,2.63,163.65,25.54,77.52,NA,775.65
SEP,11,12,20.72,NA,NA,NA,9.78,2.43,148.52,26.58,61.88,NA,708.32
SEP,11,13,22.78,NA,NA,3.52,4.22,2.38,198.69,27.35,54.93,NA,717.96
SEP,11,14,23.39,NA,NA,4.71,12.24,2.59,223.65,26.8,52.48,NA,265.94
SEP,11,15,20.86,NA,NA,5.87,11.56,2.67,230.79,26.05,57.45,NA,433.53
SEP,11,16,23.49,7.45,NA,5.21,12.46,2.21,223.96,27.03,49.73,NA,463.11
SEP,11,17,24.44,9.22,NA,3.33,20.23,3.14,183.28,26.37,51.73,NA,281.7
SEP,11,18,22.59,9.24,NA,2.7,10.59,3.73,181.23,26.02,49.28,NA,201.12
SEP,11,19,16.75,9.83,NA,6.06,24.29,2.7,162.24,23.7,59.17,NA,28.46
SEP,11,20,9.37,10.39,NA,10.73,22,1.97,174.98,22.43,65.6,NA,2.15
SEP,11,21,7.86,10.81,NA,10.45,22.94,2.54,184.42,22.01,68.76,NA,2.18
SEP,11,22,6.61,10.83,NA,9.19,20.27,2.55,238.43,21.24,72.02,NA,2.21
SEP,11,23,9.31,10.68,NA,7.06,15.78,2.66,282.13,20.22,77.75,NA,2.28
SEP,12,0,15.04,5.08,NA,4.09,9.61,2.78,306.87,19.6,81.09,NA,2.37
SEP,12,1,14.08,3.78,NA,4.91,20.08,2.53,282.1,19.41,82.65,NA,2.32
SEP,12,2,10.9,4.44,NA,7.24,6.69,2.44,291.9,19.32,83.72,NA,2.39
SEP,12,3,6.93,4.65,NA,10.76,12.03,2.1,268.37,19.36,84.11,NA,2.37
SEP,12,4,7.48,3.96,NA,6.97,8.26,1.94,251.16,19.08,84.85,NA,2.35
SEP,12,5,9.07,3.63,NA,5.15,11.11,2.28,258.33,18.32,86.42,NA,2.46
SEP,12,6,8.73,3.5,NA,8.83,8.11,1.61,268.48,17.51,92.52,NA,2.5
SEP,12,7,4.47,4.64,NA,12.08,3.59,1.78,141.85,17.61,97.39,NA,6.34
SEP,12,8,0.2,15.88,NA,14.55,15.55,1.9,114.5,18.04,97.92,NA,44.37
SEP,12,9,0.55,16.34,NA,13.86,20.52,2.1,94.27,19.53,94.44,NA,200.03
SEP,12,10,6.88,23.08,NA,10.76,14.85,1.69,173.56,23.31,84.07,NA,392.18
