DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,,,","
,,,,,,,,,,,,,","
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,"RADSOL,"
DIC,3,16,69.75,13.83,0.13,NA,26.79,2.08,257.87,28.21,24.34,NA,"490.74,"
DIC,3,17,61.45,10.65,0.03,NA,25.92,1.98,281.33,27.79,21.96,NA,"299.87,"
DIC,3,18,53.04,9.7,0.19,NA,39.03,1.61,238.61,25.74,24.16,NA,"92.62,"
DIC,3,19,8.11,10.05,1.94,NA,61.59,1.31,317.36,21.51,27.07,NA,"2.84,"
DIC,3,20,0.2,12.64,1.57,NA,100.79,1.21,106.01,18.74,38.62,NA,"2.05,"
DIC,3,21,0.2,12.64,1.47,NA,99.35,1.53,146.18,16.93,40.39,NA,"2.12,"
DIC,3,22,2.37,11.39,0.41,NA,84.73,1.75,111.04,15.89,55.95,NA,"2.19,"
DIC,3,23,7.29,13.43,0.49,NA,66.02,1.69,180.93,14.53,58.16,NA,"2.25,"
DIC,4,0,8.11,11.96,0.62,NA,52.37,1.73,137.69,14.08,61.68,NA,"2.28,"
DIC,4,1,22.6,11.78,0.43,NA,63.4,2.5,105.16,13.33,63.57,NA,"2.32,"
DIC,4,2,5.77,9.18,0.27,NA,50.02,2.69,96.09,12.48,64.44,NA,"2.36,"
DIC,4,3,0.2,17.57,0.37,NA,58.97,3.45,92.27,12.02,68.74,NA,"2.41,"
DIC,4,4,0.2,8.66,0.08,NA,46.49,3.66,97.93,11.49,72.6,NA,"2.42,"
DIC,4,5,0.2,5.04,0.04,NA,18.3,3.01,118.55,10.48,83.24,NA,"2.47,"
DIC,4,6,2.87,4.14,0.05,NA,27.66,3.46,104.88,10.88,87.29,NA,"2.51,"
DIC,4,7,1.53,3.5,0.18,NA,22.05,3,101.7,10.78,88.52,NA,"2.55,"
DIC,4,8,0.2,3.5,0.27,NA,30.07,3.12,106.65,11.48,88.12,NA,"51.21,"
DIC,4,9,0.77,7.61,0.25,NA,21.17,3.13,105.36,14.54,79.44,NA,"218.97,"
DIC,4,10,13.42,38.23,0.24,NA,27.22,4.32,78.59,18.25,66.27,NA,"437.66,"
DIC,4,11,22.52,17.73,0.16,NA,32.36,4.32,90.88,20.22,56.87,NA,"601.09,"
DIC,4,12,29.95,4.13,0.15,NA,18.09,4.01,92.65,22.24,49.91,NA,"703.77,"
DIC,4,13,40.09,3.5,0.14,NA,22.7,3.33,107.17,24.41,43.26,NA,"666.77,"
DIC,4,14,48.59,4.25,0.15,NA,15.91,3.01,115,26.14,35.63,NA,"644.67,"
DIC,4,15,50.89,3.79,0.05,NA,22.93,2.33,130.55,27.57,30.73,NA,"620.94,"
DIC,4,16,52.34,5.1,0.06,NA,20.2,2.03,159.84,28.27,30.3,NA,"460.65,"
DIC,4,17,49.06,16.49,0.1,NA,31.68,1.49,206.52,28.1,30.47,NA,"270.86,"
DIC,4,18,49.02,9.33,0.18,NA,36.68,1.57,121.8,25.99,33.85,NA,"80.14,"
DIC,4,19,7.44,6.17,0.88,NA,40.08,1.15,24.62,22.23,36.89,NA,"2.68,"
DIC,4,20,11.07,13.26,1.57,NA,68.87,1.53,74.68,20.9,45.78,NA,"1.89,"
DIC,4,21,7.92,15.38,0.24,NA,57.67,4.06,60.1,20.18,53.14,NA,"1.95,"
DIC,4,22,5.13,27.06,0.16,NA,42.1,4.23,87.7,18.56,61.77,NA,"2.06,"
DIC,4,23,4.59,5.14,0.12,NA,30.03,4.64,91.99,17.16,68.65,NA,"2.14,"
DIC,5,0,6.03,3.5,0.06,NA,17.9,4.91,95.4,16.42,72.41,NA,"2.17,"
DIC,5,1,2.69,57.6,0.04,NA,26.57,3.99,78.1,15.91,76.22,NA,"2.2,"
DIC,5,2,5.5,12.17,0.02,NA,27.83,4.16,99.43,15.42,78.06,NA,"2.24,"
DIC,5,3,5.84,5.41,0.01,NA,13.32,3.44,101.88,14.27,82.05,NA,"2.26,"
DIC,5,4,5.68,4.12,0.01,NA,10.91,3.82,96.13,13.5,84.4,NA,"2.32,"
DIC,5,5,2.53,3.5,0.02,NA,12.87,3.63,91.25,13.08,84.96,NA,"2.36,"
DIC,5,6,2.28,11.63,0.02,NA,11.54,3.33,78.94,12.95,85.77,NA,"2.34,"
DIC,5,7,0.2,48.99,0.13,NA,26.15,3.65,73.09,13.43,84.91,NA,"2.43,"
DIC,5,8,0.83,48.51,0.13,NA,38.72,5.13,66.46,13.46,83.58,NA,"43.42,"
DIC,5,9,11.58,12.42,0.11,NA,18.13,6.48,64.68,15,76.1,NA,"230.33,"
DIC,5,10,19.94,10.52,0.11,NA,16.33,6.44,66.18,16.97,65.66,NA,"350.03,"
DIC,5,11,19.4,33.11,0.16,NA,19.5,5.85,65.17,17.01,65.62,NA,"294.02,"
DIC,5,12,18.09,70.35,0.15,NA,27.38,5.25,71.46,19.16,59.17,NA,"526.5,"
DIC,5,13,24.94,17.99,0.17,NA,14.91,5.71,88.75,20.81,54.9,NA,"657.8,"
DIC,5,14,29.46,43.82,0.18,NA,23.95,5.44,83.58,22.32,50.35,NA,"622.04,"
DIC,5,15,33.03,45.82,0.15,NA,26.18,5.1,71.84,23.7,45.84,NA,"613.43,"
DIC,5,16,34.21,23.51,0.16,NA,26.33,4.86,78.58,24.21,42.74,NA,"472.35,"
DIC,5,17,31.8,17.73,0.13,NA,22.12,4.81,67.38,24.2,40.01,NA,"282.31,"
DIC,5,18,27.86,15.63,0.16,NA,24.01,4.61,65.7,22.84,43.74,NA,"71.22,"
DIC,5,19,14.66,14.04,0.35,NA,29.23,3.29,68.38,20.7,50.85,NA,"2.47,"
DIC,5,20,15.22,27.77,0.21,NA,26.72,3.77,54.81,18.99,60.01,NA,"2,"
DIC,5,21,11.9,24.62,0.16,NA,25.13,3.79,65.35,18.01,64.29,NA,"2.06,"
DIC,5,22,14.09,24.13,0.09,NA,25.3,5,70.48,17.31,65.49,NA,"2.09,"
DIC,5,23,12.5,72.5,0.06,NA,26.93,5.58,72.02,16.2,68.84,NA,"2.17,"
DIC,6,0,15.21,49.63,0.03,NA,22.74,5.5,71.3,15.46,71.4,NA,"2.24,"
DIC,6,1,10.35,74.01,0.03,NA,23.05,3.93,79.08,14.93,74.17,NA,"2.27,"
DIC,6,2,13,45.27,0.02,NA,22.83,4.58,76.6,14.51,75.88,NA,"2.34,"
DIC,6,3,14.93,48.36,0.01,NA,16.34,4.81,66.85,14.4,75.61,NA,"2.29,"
DIC,6,4,13.84,53.71,0.01,NA,19.37,3.65,77.42,14.45,75.55,NA,"2.27,"
DIC,6,5,16.41,15.36,0.01,NA,13.14,3.78,98.35,14.4,74.92,NA,"2.32,"
DIC,6,6,11.41,6.38,0.01,NA,5.86,3.09,109.5,13.98,77.5,NA,"2.25,"
DIC,6,7,7.25,5.68,0.11,NA,8.61,3.16,94.07,13.51,81.2,NA,"2.34,"
DIC,6,8,2.6,6.31,0.31,NA,34.34,2.86,92.09,13.48,81.68,NA,"17.26,"
DIC,6,9,6.94,4.49,0.15,NA,18.33,2.99,102.15,14.44,78.48,NA,"109.22,"
DIC,6,10,14.8,4.17,0.1,NA,NA,3.54,98.65,18.22,64.54,NA,"415.54,"
DIC,6,11,21.57,13.41,0.07,NA,12.36,3.67,97.06,20.32,55.45,NA,"570.08,"
DIC,6,12,28.31,20.36,0.01,NA,5.18,2.61,141.24,22.76,50.38,NA,"667.65,"
DIC,6,13,35.99,7.83,0.09,NA,11.04,2.02,136.39,24.83,44.47,NA,"647.73,"
DIC,6,14,42.53,4.15,0.05,NA,9.3,1.84,196.85,26.71,39.83,NA,"585.72,"
DIC,6,15,47.66,3.55,0.09,NA,17.8,1.97,182.65,27.54,36.87,NA,"598.35,"
DIC,6,16,48.65,3.5,0.04,NA,20.16,2.07,259.73,27.68,35.61,NA,"451.34,"
DIC,6,17,48.84,3.5,0.07,NA,24.02,2.29,264.63,26.73,35.73,NA,"262.6,"
DIC,6,18,49.6,5.89,0.41,NA,34.46,2.66,309.95,24.71,39.94,NA,"73.5,"
DIC,6,19,17.54,5.01,1.55,NA,58.73,1.73,320.68,22.16,46.18,NA,"2.35,"
DIC,6,20,4.32,9.02,2.02,NA,77.35,1.21,180.71,20.29,47.91,NA,"1.94,"
DIC,6,21,NA,12.42,1.64,NA,103.49,1.35,339.18,20.51,52.97,NA,"1.96,"
DIC,6,22,18.44,32.77,0.33,NA,53.06,2.82,69.68,20.57,55.09,NA,"1.97,"
DIC,6,23,7.15,8.07,0.22,NA,40.21,2.19,155.14,18.68,61.71,NA,"2.04,"
DIC,7,0,9.9,5.51,0.13,NA,28.95,1.78,148.9,18.15,63.8,NA,"2.05,"
DIC,7,1,5.66,6.01,0.08,NA,21.33,2.45,105.05,17.31,67.87,NA,"2.08,"
DIC,7,2,3.13,8.64,0.05,NA,19.91,2.86,97.2,16.5,70.6,NA,"2.14,"
DIC,7,3,8.96,8.2,0.01,NA,14.01,2.2,83.43,15.4,73.97,NA,"2.16,"
DIC,7,4,0.55,7.47,0.02,NA,16.82,1.67,94.66,14.69,76.97,NA,"2.26,"
DIC,7,5,NA,5.83,0.03,NA,18.17,1.96,110.14,14.29,80.57,NA,"2.25,"
DIC,7,6,NA,5.63,0.09,NA,18.05,1.81,72.08,13.89,81.31,NA,"2.32,"
DIC,7,7,NA,7.48,0.2,NA,20.88,2.36,92.37,13.63,83.35,NA,"2.44,"
DIC,7,8,NA,8.05,0.42,NA,28.05,2.28,94.79,13.12,86.02,NA,"30.16,"
DIC,7,9,0.2,7.57,0.38,NA,29.5,2.48,104.45,14.31,82.76,NA,"123.97,"
DIC,7,10,8.03,6.42,0.19,NA,14.09,3.09,103.18,18.82,67.27,NA,"378.52,"
DIC,7,11,17.85,6.42,0.13,NA,8.51,2.98,107.78,21.99,57.29,NA,"559.61,"
DIC,7,12,30.45,5.56,0.14,NA,8.5,1.91,138.98,25.75,46.73,NA,"675.26,"
DIC,7,13,38.4,4.51,0.17,NA,22.5,2.32,272,25.61,45.31,NA,"425.24,"
DIC,7,14,41.45,4.07,0.18,NA,19.65,2.33,291.89,25.46,45.21,NA,"295.45,"
DIC,7,15,45.01,4.02,0.13,NA,17.06,2.68,275.32,26.77,40.12,NA,"523.85,"
DIC,7,16,42.75,3.5,0.05,NA,106.24,2.24,229.46,27.58,35.7,NA,"362.39,"
DIC,7,17,42.06,3.69,0.05,NA,55.82,2.28,241.71,27.3,35.89,NA,"297.12,"
DIC,7,18,31.27,3.53,0.31,NA,25.92,2.32,266.98,24.93,39.97,NA,"48.08,"
DIC,7,19,11.02,4.14,0.53,NA,44.77,2.41,251.62,22.55,47.7,NA,"2.55,"
DIC,7,20,9.27,4.38,0.25,NA,29.09,2.36,206.62,21.02,48.66,NA,"1.92,"
