DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MAYO,8,12,NA,NA,0.002,0.55,38,37,0.008
MAYO,8,13,NA,NA,0.002,0.55,39,32,0.008
MAYO,8,14,NA,NA,0.002,0.55,39,31,0.007
MAYO,8,15,NA,NA,0.002,0.53,36,30,0.008
MAYO,8,16,NA,NA,0.002,0.51,34,28,0.005
MAYO,8,17,NA,NA,0.002,0.49,31,25,0.007
MAYO,8,18,NA,NA,0.002,0.47,32,25,0.007
MAYO,8,19,NA,NA,0.002,0.47,32,23,0.014
MAYO,8,20,NA,NA,0.002,0.49,35,25,0.017
MAYO,8,21,NA,NA,0.002,0.52,48,26,0.015
MAYO,8,22,NA,NA,0.002,0.54,51,35,0.014
MAYO,8,23,NA,NA,0.002,0.55,50,35,0.012
MAYO,9,0,NA,NA,0.002,0.55,48,32,0.007
MAYO,9,1,NA,NA,0.002,0.55,48,30,0.004
MAYO,9,2,NA,NA,0.002,0.55,46,28,0.003
MAYO,9,3,NA,NA,0.002,0.53,42,28,0.003
MAYO,9,4,NA,NA,0.002,0.48,39,28,0.004
MAYO,9,5,NA,NA,0.002,0.45,37,29,0.007
MAYO,9,6,NA,NA,0.002,0.44,38,29,0.017
MAYO,9,7,NA,NA,0.002,0.50,42,33,0.027
MAYO,9,8,NA,NA,0.002,0.57,49,35,0.025
MAYO,9,9,NA,NA,0.002,0.63,53,42,0.023
MAYO,9,10,NA,NA,0.002,0.66,50,37,0.012
MAYO,9,11,NA,NA,0.002,0.69,51,43,0.014
MAYO,9,12,NA,NA,0.002,0.71,49,45,0.009
MAYO,9,13,NA,NA,0.002,0.73,45,35,0.008
MAYO,9,14,NA,NA,0.002,0.73,41,30,0.010
MAYO,9,15,NA,NA,0.002,0.68,38,31,0.011
MAYO,9,16,NA,NA,0.002,0.61,33,28,0.008
MAYO,9,17,NA,NA,0.002,0.56,32,24,0.011
MAYO,9,18,NA,NA,0.002,0.57,32,28,0.015
MAYO,9,19,NA,NA,0.002,0.57,34,25,0.016
MAYO,9,20,NA,NA,0.002,0.66,38,26,0.037
MAYO,9,21,NA,NA,0.002,0.72,45,29,0.032
MAYO,9,22,NA,NA,0.002,0.72,63,32,0.010
MAYO,9,23,NA,NA,0.002,0.70,61,35,0.006
MAYO,10,0,NA,NA,0.002,0.68,53,36,0.004
MAYO,10,1,NA,NA,0.002,0.65,43,27,0.003
MAYO,10,2,NA,NA,0.002,0.62,32,21,0.006
MAYO,10,3,NA,NA,0.002,0.58,29,17,0.015
MAYO,10,4,NA,NA,0.002,0.47,30,17,0.011
MAYO,10,5,NA,NA,0.002,0.40,31,18,0.014
MAYO,10,6,NA,NA,0.003,0.41,38,23,0.023
MAYO,10,7,NA,NA,0.003,0.51,45,27,0.033
MAYO,10,8,NA,NA,0.005,0.58,50,28,0.031
MAYO,10,9,NA,NA,0.006,0.63,60,36,0.023
MAYO,10,10,NA,NA,0.009,0.66,66,40,0.013
MAYO,10,11,NA,NA,0.011,0.70,54,44,0.011
MAYO,10,12,NA,NA,0.012,0.71,48,43,0.013
MAYO,10,13,NA,NA,0.013,0.71,44,38,0.009
MAYO,10,14,NA,NA,0.014,0.69,43,30,0.010
MAYO,10,15,NA,NA,0.015,0.59,42,29,0.008
MAYO,10,16,NA,NA,0.015,0.53,41,26,0.007
MAYO,10,17,NA,NA,0.016,0.51,38,29,0.006
MAYO,10,18,NA,NA,0.019,0.48,37,25,0.006
MAYO,10,19,NA,NA,0.026,0.48,53,28,0.008
MAYO,10,20,NA,NA,0.036,0.47,128,33,0.008
MAYO,10,21,NA,NA,0.044,0.47,86,26,0.007
MAYO,10,22,NA,NA,0.052,0.47,59,24,0.007
MAYO,10,23,NA,NA,0.055,0.46,57,22,0.007
MAYO,11,0,NA,NA,0.059,0.49,65,26,0.010
MAYO,11,1,NA,NA,0.065,0.51,58,35,0.005
MAYO,11,2,NA,NA,0.072,0.50,47,32,0.005
MAYO,11,3,NA,NA,0.075,0.59,38,30,0.005
MAYO,11,4,NA,NA,0.082,0.62,35,29,0.004
MAYO,11,5,NA,NA,0.093,0.60,32,29,0.004
MAYO,11,6,NA,NA,0.098,0.67,29,25,0.006
MAYO,11,7,NA,NA,0.100,0.72,27,26,0.008
MAYO,11,8,NA,NA,0.103,0.72,26,24,0.007
MAYO,11,9,NA,NA,0.106,0.70,26,26,0.006
MAYO,11,10,NA,NA,0.107,0.72,29,26,0.006
MAYO,11,11,NA,NA,0.107,0.62,36,25,0.006
MAYO,11,12,NA,NA,0.107,0.59,41,30,0.006
MAYO,11,13,NA,NA,0.107,0.60,37,27,0.006
MAYO,11,14,NA,NA,0.107,0.54,31,26,0.007
MAYO,11,15,NA,NA,0.108,0.53,30,23,0.005
MAYO,11,16,NA,NA,0.107,0.49,24,20,0.003
MAYO,11,17,NA,NA,0.108,0.50,28,17,0.005
MAYO,11,18,NA,NA,0.106,0.51,33,20,0.008
MAYO,11,19,NA,NA,0.102,0.52,62,31,0.007
MAYO,11,20,NA,NA,0.100,0.55,56,41,0.007
MAYO,11,21,NA,NA,0.092,0.55,41,29,0.005
MAYO,11,22,NA,NA,0.087,0.77,31,21,0.005
MAYO,11,23,NA,NA,0.084,0.73,29,19,0.004
MAYO,12,0,NA,NA,0.084,0.98,29,17,0.005
MAYO,12,1,NA,NA,0.081,1.08,30,19,0.005
MAYO,12,2,NA,NA,0.079,1.12,30,25,0.005
MAYO,12,3,NA,NA,0.081,1.14,26,25,0.006
MAYO,12,4,NA,NA,0.074,1.10,23,22,0.008
MAYO,12,5,NA,NA,0.064,1.08,23,22,0.005
MAYO,12,6,NA,NA,0.058,0.85,23,21,0.006
MAYO,12,7,NA,NA,0.056,0.86,25,21,0.008
MAYO,12,8,NA,NA,0.052,0.63,24,24,0.009
MAYO,12,9,NA,NA,0.050,0.51,23,23,0.005
MAYO,12,10,NA,NA,0.049,0.45,24,25,0.005
MAYO,12,11,0.057,NA,0.047,0.42,23,22,0.006
MAYO,12,12,0.066,NA,0.047,0.44,24,19,0.007
MAYO,12,13,0.071,NA,0.047,0.45,24,19,0.006
MAYO,12,14,0.072,NA,0.048,0.46,23,16,0.006
MAYO,12,15,0.074,NA,0.048,0.47,24,16,0.007
MAYO,12,16,0.072,NA,0.048,0.44,24,19,0.004
MAYO,12,17,0.069,NA,0.047,0.44,22,20,0.003
MAYO,12,18,0.064,0.068,0.045,0.43,21,16,0.003
MAYO,12,19,0.060,0.069,0.042,0.41,21,14,0.004
MAYO,12,20,0.055,0.067,0.034,0.39,22,12,0.005
MAYO,12,21,0.056,0.065,0.034,0.38,21,10,0.004
MAYO,12,22,0.055,0.063,0.032,0.36,21,9,0.003
MAYO,12,23,0.054,0.061,0.030,0.33,18,9,0.002
MAYO,13,0,0.044,0.057,0.028,0.32,17,8,0.008
MAYO,13,1,0.041,0.054,0.029,0.31,25,17,0.010
MAYO,13,2,0.036,0.050,0.028,0.30,27,14,0.012
MAYO,13,3,0.038,0.047,0.028,0.35,31,24,0.012
MAYO,13,4,0.041,0.046,0.029,0.38,26,21,0.008
MAYO,13,5,0.031,0.043,0.030,0.38,27,19,0.011
MAYO,13,6,0.024,0.039,0.031,0.39,28,18,0.014
MAYO,13,7,0.010,0.033,0.031,0.47,33,19,0.025
MAYO,13,8,0.018,0.030,0.031,0.53,37,21,0.022
MAYO,13,9,0.027,0.028,0.031,0.57,39,22,0.022
MAYO,13,10,0.043,0.029,0.030,0.61,45,34,0.016
MAYO,13,11,0.053,0.031,0.029,0.59,44,34,0.012
MAYO,13,12,0.068,0.034,0.028,0.58,39,33,0.010
MAYO,13,13,0.072,0.039,0.027,0.61,36,28,0.009
MAYO,13,14,0.070,0.045,0.026,0.63,32,23,0.010
MAYO,13,15,0.071,0.053,0.024,0.57,28,22,0.010
MAYO,13,16,0.074,0.060,0.024,0.53,24,18,0.009
MAYO,13,17,0.069,0.065,0.024,0.51,24,17,0.012
MAYO,13,18,0.073,0.069,0.024,0.51,23,18,0.011
MAYO,13,19,0.069,0.071,0.025,0.52,28,14,0.014
MAYO,13,20,0.055,0.069,0.025,0.55,30,16,0.021
MAYO,13,21,0.033,0.064,0.026,0.61,30,18,0.022
MAYO,13,22,0.038,0.060,0.028,0.70,32,17,0.011
MAYO,13,23,0.031,0.055,0.031,0.73,32,18,0.014
MAYO,14,0,0.027,0.049,0.030,0.73,40,25,0.016
MAYO,14,1,0.029,0.044,0.031,0.74,52,29,0.017
MAYO,14,2,0.038,0.040,0.027,0.71,43,35,0.008
MAYO,14,3,0.033,0.035,0.023,0.70,32,25,0.008
MAYO,14,4,0.032,0.033,0.023,0.68,30,19,0.011
MAYO,14,5,0.025,0.032,0.026,0.63,35,21,0.015
MAYO,14,6,0.020,0.029,0.031,0.61,50,37,0.022
MAYO,14,7,0.019,0.028,0.036,0.60,70,61,0.021
MAYO,14,8,0.023,0.027,0.038,0.59,65,59,0.019
MAYO,14,9,0.029,0.027,0.040,0.59,66,55,0.018
MAYO,14,10,0.041,0.028,0.042,0.61,66,54,0.015
MAYO,14,11,0.060,0.031,0.042,0.61,55,50,0.011
MAYO,14,12,0.078,0.037,0.042,0.60,51,41,0.007
MAYO,14,13,0.087,0.044,0.043,0.60,43,35,0.007
MAYO,14,14,0.079,0.052,NA,0.53,42,24,0.010
MAYO,14,15,0.080,0.059,NA,0.51,41,NA,0.008
MAYO,14,16,0.072,0.066,NA,0.54,40,NA,0.013
MAYO,14,17,0.062,0.070,NA,0.58,38,NA,0.021
MAYO,14,18,0.057,0.072,NA,0.63,41,NA,0.018
MAYO,14,19,0.050,0.071,NA,0.65,60,NA,0.014
MAYO,14,20,0.039,0.066,NA,0.68,65,NA,0.015
MAYO,14,21,0.041,0.060,NA,0.70,66,NA,0.010
MAYO,14,22,0.041,0.055,NA,0.68,67,NA,0.010
MAYO,14,23,0.039,0.050,NA,0.67,56,NA,0.009
MAYO,15,0,0.041,0.046,NA,0.65,44,NA,0.007
MAYO,15,1,0.041,0.044,NA,0.61,31,NA,0.007
MAYO,15,2,0.037,0.041,NA,0.57,29,NA,0.009
MAYO,15,3,0.034,0.039,NA,0.53,28,24,0.009
MAYO,15,4,0.021,0.037,NA,0.51,31,26,0.016
MAYO,15,5,0.017,0.034,NA,0.49,35,29,0.019
MAYO,15,6,0.012,0.030,NA,0.49,37,30,0.022
MAYO,15,7,0.018,0.028,NA,0.51,43,32,0.020
MAYO,15,8,0.026,0.026,NA,0.54,42,34,0.019
MAYO,15,9,0.040,0.026,NA,0.54,47,39,0.012
MAYO,15,10,0.052,0.027,NA,0.54,40,36,0.007
MAYO,15,11,0.056,0.030,NA,0.54,37,33,0.009
MAYO,15,12,0.064,0.036,NA,0.56,36,33,0.008
MAYO,15,13,0.065,0.042,NA,0.56,31,28,0.007
MAYO,15,14,0.067,0.048,0.015,0.54,24,22,0.005
MAYO,15,15,0.065,0.054,0.014,0.50,20,20,0.006
MAYO,15,16,0.065,0.059,0.014,0.47,21,16,0.004
MAYO,15,17,0.063,0.062,0.014,0.46,21,14,0.004
MAYO,15,18,0.062,0.063,0.014,0.44,19,19,0.004
MAYO,15,19,0.062,0.064,0.013,0.43,23,17,0.003
MAYO,15,20,0.055,0.063,0.013,0.39,32,18,0.003
MAYO,15,21,0.049,0.061,0.014,0.39,27,16,0.005
MAYO,15,22,0.045,0.058,0.017,0.60,30,19,0.008
MAYO,15,23,0.044,0.055,0.025,0.62,31,20,0.008
MAYO,16,0,0.039,0.052,0.028,0.63,41,23,0.011
MAYO,16,1,0.041,0.050,0.030,0.62,48,29,0.007
MAYO,16,2,0.036,0.046,0.034,0.63,47,30,0.011
MAYO,16,3,0.039,0.043,0.034,0.62,38,27,0.006
MAYO,16,4,0.043,0.042,0.034,0.62,28,21,0.004
MAYO,16,5,0.041,0.041,0.035,0.62,23,19,0.007
MAYO,16,6,0.024,0.038,0.037,0.41,29,20,0.019
MAYO,16,7,0.020,0.035,0.040,0.41,39,27,0.022
MAYO,16,8,0.026,0.034,0.042,0.42,49,37,0.022
MAYO,16,9,0.033,0.033,0.043,0.44,55,40,0.020
MAYO,16,10,0.044,0.034,0.042,0.46,57,43,0.017
MAYO,16,11,0.055,0.036,0.042,0.48,49,39,0.014
MAYO,16,12,0.063,0.038,0.040,0.48,43,33,0.008
MAYO,16,13,0.063,0.041,0.040,0.47,33,23,0.008
MAYO,16,14,0.068,0.046,0.040,0.45,27,21,0.008
MAYO,16,15,0.065,0.052,0.041,0.44,27,19,0.008
MAYO,16,16,0.058,0.056,0.041,0.41,19,19,0.006
MAYO,16,17,0.063,0.060,0.041,0.38,17,15,0.002
MAYO,16,18,0.064,0.062,0.044,0.37,20,14,0.004
MAYO,16,19,0.062,0.063,0.050,0.38,26,13,0.004
MAYO,16,20,0.049,0.062,0.051,0.38,26,14,0.007
MAYO,16,21,0.046,0.059,0.050,0.37,26,14,0.005
MAYO,16,22,0.043,0.056,0.047,0.37,25,16,0.005
MAYO,16,23,0.038,0.053,0.040,0.36,24,16,0.009
MAYO,17,0,0.035,0.050,0.038,0.37,32,25,0.009
MAYO,17,1,0.035,0.046,0.039,0.42,38,28,0.012
MAYO,17,2,0.046,0.044,0.035,0.39,34,24,0.004
MAYO,17,3,0.047,0.042,0.035,0.37,35,21,0.003
MAYO,17,4,0.043,0.042,0.040,0.39,40,15,0.006
MAYO,17,5,0.031,0.040,0.043,0.43,36,30,0.015
MAYO,17,6,0.023,0.037,0.045,0.44,46,35,0.019
MAYO,17,7,0.021,0.035,0.044,0.46,54,52,0.020
MAYO,17,8,0.020,0.033,0.042,0.49,55,46,0.021
MAYO,17,9,0.027,0.032,0.043,0.47,61,41,0.022
MAYO,17,10,0.041,0.031,0.043,0.50,65,50,0.017
MAYO,17,11,0.061,0.033,0.042,0.52,53,44,0.011
MAYO,17,12,0.075,0.037,0.041,0.53,50,37,0.010
MAYO,17,13,0.076,0.043,0.040,0.53,49,33,0.009
MAYO,17,14,0.068,0.049,0.039,0.54,42,32,0.008
MAYO,17,15,0.074,0.055,0.039,0.55,35,29,0.007
MAYO,17,16,0.087,0.063,0.039,0.53,36,28,0.005
MAYO,17,17,0.081,0.070,0.039,0.54,36,27,0.010
MAYO,17,18,0.070,0.074,0.036,0.55,38,28,0.012
