DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENERO,6,7,0.0055,NA,0.0033,0.7916,52,34,NA
ENERO,6,8,0.0055,NA,0.0033,0.8549,55,34,NA
ENERO,6,9,0.0079,NA,0.0032,0.9040,63,36,NA
ENERO,6,10,0.0121,0.0053,0.0040,0.9286,69,40,NA
ENERO,6,11,0.0327,0.0090,0.0050,0.9337,72,47,NA
ENERO,6,12,0.0391,0.0136,0.0054,0.9593,45,48,NA
ENERO,6,13,0.0449,0.0190,0.0055,0.9535,43,42,NA
ENERO,6,14,0.0558,0.0254,0.0056,0.9415,37,32,NA
ENERO,6,15,0.0493,0.0309,0.0056,0.9080,28,28,NA
ENERO,6,16,0.0415,0.0354,0.0056,0.7877,26,22,NA
ENERO,6,17,0.0466,0.0402,0.0057,0.6745,26,20,0.0124
ENERO,6,18,0.0384,0.0435,0.0057,0.6106,30,19,0.0193
ENERO,6,19,0.0081,0.0404,0.0058,0.8063,37,20,0.0414
ENERO,6,20,0.0048,0.0362,0.0058,0.9666,52,25,0.0368
ENERO,6,21,0.0049,0.0312,0.0059,1.0952,60,29,0.0306
ENERO,6,22,0.0074,0.0251,0.0059,1.1739,64,30,0.0247
ENERO,6,23,0.0069,0.0198,0.0059,1.2156,53,34,0.0207
ENERO,7,0,0.0112,0.0160,0.0062,1.2891,36,28,0.0257
ENERO,7,1,0.0134,0.0119,0.0063,1.2921,44,35,0.0210
ENERO,7,2,0.0129,0.0087,0.0062,1.2545,41,34,0.0191
ENERO,7,3,0.0150,0.0096,0.0062,1.0110,35,28,0.0184
