DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,6,19,0.0396,0.0090,1.133,16,19.38,4.53,163.48,42.40
ABRIL,6,20,0.0391,0.0074,1.091,38,18.20,4.61,153.43,46.58
ABRIL,6,21,0.0339,0.0085,1.120,34,18.18,3.36,150.94,47.40
ABRIL,6,22,0.0336,0.0074,1.069,30,17.48,4.04,185.93,49.01
ABRIL,6,23,0.0401,0.0065,1.042,22,16.57,3.26,148.63,50.11
ABRIL,7,0,0.0366,0.0407,1.036,22,15.87,2.31,130.39,51.14
ABRIL,7,1,0.0348,0.0590,1.031,15,15.65,2.32,119.11,51.19
ABRIL,7,2,0.0259,0.0149,1.065,27,14.28,2.29,163.69,56.25
ABRIL,7,3,0.0224,0.0374,1.059,27,13.95,1.34,132.27,57.58
ABRIL,7,4,0.0092,0.0137,1.116,19,13.06,1.34,140.76,59.77
ABRIL,7,5,0.0055,0.0134,1.165,18,12.34,1.13,133.57,62.54
ABRIL,7,6,0.0033,0.0156,1.491,20,11.90,1.39,208.70,62.90
ABRIL,7,7,0.0047,0.4605,1.690,29,10.90,1.32,126.61,68.83
ABRIL,7,8,0.0045,0.1238,1.775,50,13.92,1.64,121.91,63.95
ABRIL,7,9,0.0111,0.0974,1.459,40,19.00,1.66,148.23,51.75
ABRIL,7,10,0.0284,0.0347,1.254,NA,22.67,1.79,197.27,39.03
ABRIL,7,11,0.0397,0.0240,1.178,NA,24.70,2.68,262.45,30.89
ABRIL,7,12,0.0487,0.0137,1.103,NA,25.82,3.75,272.06,24.67
ABRIL,7,13,0.0503,0.0089,1.039,NA,27.07,3.83,249.24,18.76
ABRIL,7,14,0.0500,0.0073,1.036,NA,28.45,3.47,258.58,15.62
ABRIL,7,15,0.0540,0.0072,1.031,NA,29.54,3.00,253.03,15.38
ABRIL,7,16,0.0561,0.0068,0.998,8,30.44,2.51,223.43,13.31
ABRIL,7,17,0.0575,0.0068,0.989,8,30.47,2.83,202.05,12.49
ABRIL,7,18,0.0572,0.0067,1.012,27,29.75,2.79,219.08,12.35
ABRIL,7,19,0.0539,0.0066,1.108,51,27.84,2.85,228.99,13.96
ABRIL,7,20,0.0450,0.0067,1.303,52,25.04,2.13,215.61,16.32
ABRIL,7,21,0.0350,0.0070,1.433,41,23.15,1.84,233.65,18.24
ABRIL,7,22,0.0226,0.0075,1.630,37,21.22,1.34,265.59,19.74
ABRIL,7,23,0.0217,0.0078,1.414,38,19.92,1.49,187.80,22.46
ABRIL,8,0,0.0110,0.0090,1.288,25,18.93,2.00,130.45,26.00
ABRIL,8,1,0.0186,0.0109,1.146,34,18.04,2.10,152.81,30.96
ABRIL,8,2,0.0185,0.0093,1.184,29,17.15,1.50,185.28,32.62
ABRIL,8,3,0.0077,0.0118,1.202,27,16.03,1.38,157.60,34.39
ABRIL,8,4,0.0040,0.0126,1.228,32,15.65,1.75,179.34,37.68
ABRIL,8,5,0.0028,0.0125,1.277,30,14.79,1.39,183.29,39.22
ABRIL,8,6,0.0021,0.0127,1.565,25,14.21,1.39,206.65,41.61
ABRIL,8,7,0.0026,0.0130,1.475,51,12.88,1.57,142.28,46.93
ABRIL,8,8,0.0051,0.0135,1.538,78,16.84,1.57,153.37,42.71
ABRIL,8,9,0.0135,0.0132,1.392,75,22.01,1.37,131.97,30.31
ABRIL,8,10,0.0250,0.0144,1.260,94,24.99,1.55,182.46,25.91
ABRIL,8,11,0.0439,0.0111,1.153,41,27.09,1.87,189.39,21.29
ABRIL,8,12,0.0492,0.0087,1.094,16,28.54,2.78,254.73,17.87
ABRIL,8,13,0.0519,0.0081,1.103,20,29.66,2.91,259.85,15.16
ABRIL,8,14,0.0578,0.0074,1.128,13,30.35,3.47,256.31,13.12
ABRIL,8,15,0.0589,0.0069,1.091,11,31.07,3.43,272.66,11.88
ABRIL,8,16,0.0598,0.0066,1.039,10,31.28,3.37,260.15,11.57
ABRIL,8,17,0.0594,0.0066,1.035,21,31.02,3.50,263.73,11.31
ABRIL,8,18,0.0589,0.0065,1.121,19,30.26,3.35,282.69,12.07
ABRIL,8,19,0.0542,0.0067,1.213,32,28.29,3.10,274.80,13.67
