DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,6,10,0.0281,0.0108,1.358,47,22.49,4.92,83.14,51.86
MAYO,6,11,0.0352,0.0115,1.361,52,24.08,4.71,94.92,46.48
MAYO,6,12,0.0426,0.0103,1.326,38,25.71,4.06,109.55,39.94
MAYO,6,13,0.0459,0.0101,1.323,35,27.06,3.95,96.67,35.33
MAYO,6,14,0.0497,0.0095,1.287,40,28.58,4.34,108.05,30.20
MAYO,6,15,0.0492,0.0088,1.32,43,27.6,5.82,91.97,29.39
MAYO,6,16,0.0412,0.0111,1.255,69,28.48,6.08,89.26,23.04
MAYO,6,17,0.0439,0.0101,1.311,44,29.05,4.72,89.73,25.10
MAYO,6,18,0.0446,0.0111,1.333,49,27.78,4.52,80.86,26.19
MAYO,6,19,0.0361,0.0125,1.33,42,26.46,5.11,70.4,25.95
MAYO,6,20,0.0319,0.0121,1.325,48,24.91,4.94,69.68,27.75
MAYO,6,21,0.0239,0.0186,1.363,50,23.05,4.33,84.77,37.69
MAYO,6,22,0.0269,0.0113,1.254,45,21.14,5.1,82.98,33.76
MAYO,6,23,0.032,0.0097,1.202,38,20.09,5.69,85.37,38.28
MAYO,7,0,0.0314,0.0084,1.2,35,19.21,5.35,88.78,47.64
MAYO,7,1,0.0282,0.0095,1.196,29,18.31,4.28,89.1,52.99
MAYO,7,2,0.027,0.0115,1.202,34,17.48,4.01,85.2,58.43
MAYO,7,3,0.0266,0.0118,1.206,30,16.88,4.2,84.41,62.21
MAYO,7,4,0.0235,0.0106,1.218,36,15.93,3.76,76.57,65.34
MAYO,7,5,0.0221,0.0118,1.227,29,15.33,3.97,74.49,67.13
MAYO,7,6,0.0204,0.0127,1.293,28,14.98,3.88,77.03,68.33
MAYO,7,7,0.0189,0.0145,1.364,35,15.4,3.73,75.04,67.71
MAYO,7,8,0.0208,0.0171,1.349,47,17.88,4.17,88.87,59.34
MAYO,7,9,0.0246,0.0256,1.334,53,19.9,5.15,72.1,51.94
MAYO,7,10,0.0288,0.0206,1.302,47,21.69,5.8,84.83,43.61
MAYO,7,11,0.0326,0.0131,1.304,48,23.04,6.29,90.61,37.34
MAYO,7,12,0.0372,0.0125,1.338,44,24.18,5.56,93.71,36.82
MAYO,7,13,0.0384,0.0148,1.301,44,25.78,5.05,93.23,32.72
MAYO,7,14,0.0408,0.0109,1.288,35,27.27,4.71,107.28,29.78
MAYO,7,15,0.0402,0.012,1.308,48,28.1,4.87,90.08,27.34
MAYO,7,16,0.0413,0.0112,1.285,47,28.9,4.87,87.52,25.01
MAYO,7,17,0.0405,0.0137,1.282,40,28.64,4.7,75.35,25.31
MAYO,7,18,0.0374,0.0143,1.301,48,27.84,4.86,80.88,26.54
MAYO,7,19,0.0304,0.0179,1.366,26,25.92,4.88,56.86,30.98
MAYO,7,20,0.0283,0.0132,1.318,38,23.19,5.98,45.64,39.60
MAYO,7,21,0.0261,0.0132,1.318,36,21.95,4.71,51.8,44.78
MAYO,7,22,0.0246,0.0227,1.293,34,21.34,4.76,59.89,47.28
MAYO,7,23,0.023,0.0186,1.254,37,20.11,4.6,78.14,52.01
MAYO,8,0,0.0218,0.0146,1.251,33,18.87,3.86,84.36,56.92
MAYO,8,1,0.0215,0.0116,1.228,47,17.87,3.75,83.46,60.77
MAYO,8,2,0.0217,0.0088,1.218,32,17.13,3.97,81.04,63.78
MAYO,8,3,0.0207,0.008,1.222,25,16.47,3.67,89.86,66.72
MAYO,8,4,0.0194,0.008,1.23,29,16.12,3.17,92.22,67.90
MAYO,8,5,0.0211,0.0076,1.246,27,15.82,2.82,89.16,68.93
MAYO,8,6,0.015,0.0074,1.344,29,15.04,2.95,86.89,72.08
MAYO,8,7,0.0085,0.0076,1.488,50,14.96,2.78,93.62,72.91
MAYO,8,8,0.0133,0.0081,1.444,65,17.4,3.01,89.89,65.33
MAYO,8,9,0.0206,0.0081,1.372,45,19.9,3.55,83.68,56.23
MAYO,8,10,0.0286,0.0076,1.327,34,22.45,3.26,105.71,47.92
MAYO,8,11,0.0358,0.0076,1.277,33,25.15,2.64,140.27,40.36
MAYO,8,12,0.0408,0.0161,1.296,40,26.59,2.34,147.43,36.60
MAYO,8,13,0.0468,0.0304,1.312,45,27.77,2.41,195.18,32.74
MAYO,8,14,0.053,0.0174,1.336,47,29.59,2.31,210.33,27.95
