DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
OCTUBRE,7,5,0.0285,0.0045,NA,0.668,10,14,3.44,76.53,74.63,2.86
OCTUBRE,7,6,0.0190,0.0045,NA,0.8363,13,13.42,2.53,98.5,76.75,2.83
OCTUBRE,7,7,0.0173,0.0047,NA,0.825,21,12.58,3.2,115.86,80.17,10.64
OCTUBRE,7,8,0.0193,0.0046,NA,0.8245,26,14.1,3.38,100.59,74.07,149.77
OCTUBRE,7,9,0.0266,0.0047,NA,0.7884,24,17.08,3.36,96.54,62.11,371.66
OCTUBRE,7,10,0.0377,0.0043,NA,0.7683,19,19.96,4.08,85.72,51.28,597.98
OCTUBRE,7,11,0.0421,0.0042,NA,0.745,19,21.43,4.51,93.78,47.14,758.58
OCTUBRE,7,12,0.0446,0.0042,NA,0.7387,10,22.93,4.16,70.7,42.93,876.37
OCTUBRE,7,13,0.0489,0.0042,NA,0.748,12,24.23,4.03,73.51,40.41,871.96
OCTUBRE,7,14,0.0538,0.0043,NA,0.7567,13,25.43,3.98,89.09,38.15,883.08
OCTUBRE,7,15,0.0512,0.0091,NA,0.78,16,26.23,4.29,81.18,36.19,694.91
OCTUBRE,7,16,0.0488,0.0128,NA,0.7668,21,26.83,3.84,77.75,34.63,597.87
OCTUBRE,7,17,0.0432,0.0099,NA,0.8584,18,26.21,4.07,69.6,35.41,245.40
OCTUBRE,7,18,0.0361,0.02,NA,0.9314,24,24.37,5.26,50.82,39.93,87.78
OCTUBRE,7,19,0.0332,0.0288,NA,0.7903,17,22.3,5.35,41.59,45.14,11.30
OCTUBRE,7,20,0.0298,0.0116,NA,0.7893,20,20.47,4.13,52.09,49.33,2.53
OCTUBRE,7,21,0.0341,0.0129,NA,0.7156,20,19.05,5.29,49.5,52.45,4.41
OCTUBRE,7,22,0.0301,0.0231,NA,0.7286,27,17.72,3.6,53.97,57.91,2.61
OCTUBRE,7,23,0.0265,0.0086,NA,0.7076,21,16.31,2.35,103.24,64.77,4.49
OCTUBRE,8,0,0.0303,0.0057,NA,0.687,16,15.36,3.55,92.28,69.81,2.79
