DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
SEP,8,4,9.79,NA,30.25666667,26.3825,12.21625,0.27375
SEP,8,5,9.06,NA,29.13958333,22.12791667,12.0675,0.255
SEP,8,6,12.81,NA,27.87375,20.02416667,11.35875,0.245
SEP,8,7,16.98,NA,26.59541667,19.41333333,11.1425,0.245
SEP,8,8,20.05,NA,25.89333333,18.945,10.72125,0.27125
SEP,8,9,21.93,NA,25.41791667,18.20041667,10.08375,0.30625
SEP,8,10,19.82,NA,27.12541667,17.35208333,9.705,0.34125
SEP,8,11,21.66,NA,28.63791667,19.56,9.5725,0.39875
SEP,8,12,18.82,NA,31.32291667,20.63,10.31,0.50375
SEP,8,13,14.06,NA,32.48208333,20.16208333,11.64125,0.56125
SEP,8,14,17.68,NA,33.37583333,20.255,14.11625,0.61
SEP,8,15,17.39,22.075,34.72083333,20.28208333,16.67125,0.63125
SEP,8,16,13.96,NA,35.075,19.71541667,19.23875,0.6225
SEP,8,17,12.54,NA,34.87,19.57625,22.01375,0.60875
SEP,8,18,10.41,NA,34.90666667,19.41875,23.39125,0.5925
SEP,8,19,11.88,NA,34.23,19.31958333,24.16,0.55875
SEP,8,20,16.29,NA,33.75041667,19.29166667,23.69375,0.49
SEP,8,21,18,NA,33.45375,19.26958333,21.9525,0.47375
SEP,8,22,17.47,NA,33.57791667,19.18541667,19.6475,0.45625
SEP,8,23,11.69,NA,33.56458333,19.01375,17.96125,0.43375
SEP,9,0,8.08,NA,33.88333333,18.94041667,16.4825,0.415
SEP,9,1,7.74,NA,33.24625,18.88458333,14.79375,0.3925
SEP,9,2,9.21,NA,33.3475,18.85208333,14.3725,0.3775
SEP,9,3,11.27,NA,33.23083333,18.83875,13.85,0.36
SEP,9,4,13.96,NA,33.45625,18.82666667,13.47375,0.33875
SEP,9,5,16.85,NA,33.79625,18.80875,13.11125,0.30125
SEP,9,6,13.94,NA,33.75333333,18.78083333,12.8425,0.26875
SEP,9,7,18.66,NA,33.51875,18.76041667,11.81,0.28875
SEP,9,8,19.56,NA,32.93875,18.7825,10.62375,0.315
SEP,9,9,20.32,NA,32.31416667,18.75833333,9.50625,0.345
SEP,9,10,18.99,NA,30.56125,18.38875,8.72125,0.36375
SEP,9,11,14.3,NA,29.24875,15.11208333,8.8575,0.38375
SEP,9,12,12.49,NA,26.74,12.77333333,9.37,0.39375
SEP,9,13,10.64,NA,25.34958333,12.18458333,10.54125,0.41125
SEP,9,14,10.3,NA,24.05208333,11.69791667,11.71375,0.425
SEP,9,15,8.71,NA,22.31541667,11.40041667,13.31875,0.4
SEP,9,16,7.23,NA,21.2625,11.24,15.2325,0.375
SEP,9,17,9.11,NA,20.825,11.13541667,17.175,0.35625
SEP,9,18,11.14,NA,20.53041667,11.08166667,18.52375,0.35125
SEP,9,19,12.11,NA,20.57833333,11.03708333,18.94625,0.34625
SEP,9,20,18.4,NA,20.41875,10.98833333,18.76,0.35875
SEP,9,21,12.49,NA,20.51833333,10.95041667,18.44375,0.35875
SEP,9,22,10.32,NA,20.37958333,10.91916667,18.0025,0.3575
SEP,9,23,10.23,NA,20.01,10.90458333,16.97,0.35875
SEP,10,0,8,NA,19.06375,10.89041667,15.8675,0.355
SEP,10,1,9.41,NA,19.03916667,10.99583333,14.375,0.3425
SEP,10,2,13.14,NA,19.17833333,11.37958333,12.7225,0.33625
SEP,10,3,10.25,NA,19.45875,11.73291667,11.48125,0.325
SEP,10,4,11.75,NA,19.17958333,11.85875,10.6775,0.2925
SEP,10,5,11.79,NA,19.03375,11.93041667,9.85875,0.27375
SEP,10,6,14.07,NA,19.03,11.96916667,8.95625,0.26875
SEP,10,7,17.26,NA,19.05208333,11.99125,8.16625,0.30375
SEP,10,8,15.87,NA,18.85,11.94791667,7.23,0.36
SEP,10,9,13.76,NA,18.60083333,11.79125,6.64625,0.41
SEP,10,10,13.08,NA,18.23333333,11.66,6.4275,0.4475
SEP,10,11,13.42,NA,17.71583333,11.62458333,6.245,0.48375
SEP,10,12,12.28,NA,17.53708333,11.64541667,6.70875,0.51625
SEP,10,13,11.23,NA,17.525,11.66625,7.4975,0.53875
SEP,10,14,10.05,NA,17.39916667,11.66708333,8.5925,0.5475
SEP,10,15,10.45,NA,17.68,11.68083333,9.7925,0.52
SEP,10,16,11.15,11.42,18.05708333,11.68375,10.875,0.48375
SEP,10,17,13.26,11.39888889,18.20166667,11.68583333,11.79625,0.4675
SEP,10,18,16.81,11.51666667,18.72208333,11.69083333,12.2825,0.46375
SEP,10,19,16.7,11.66555556,18.98416667,11.70833333,12.5225,0.465
SEP,10,20,17.47,11.97111111,19.11333333,11.72083333,12.19,0.48375
SEP,10,21,14.27,12.18555556,19.14458333,11.73333333,11.625,0.49
SEP,10,22,14.11,NA,19.06958333,11.7375,10.71625,0.4925
SEP,10,23,13.32,12.19777778,19.40583333,11.74375,9.875,0.48625
SEP,11,0,10.09,12.36368421,20.04791667,11.74958333,9.06625,0.47125
SEP,11,1,6.33,12.36368421,20.30208333,11.64833333,8.7375,0.43875
SEP,11,2,NA,12.63277778,19.9825,11.3425,8.8975,0.3925
SEP,11,3,14.06,NA,19.785,11.19916667,8.46125,0.34875
SEP,11,4,9.4,NA,20.00541667,11.20958333,8.0625,0.29375
SEP,11,5,15.01,NA,19.81291667,11.1975,7.5575,0.265
SEP,11,6,16.48,NA,19.69666667,11.57833333,7.2125,0.2575
SEP,11,7,18.28,NA,19.75916667,11.96791667,6.91625,0.27625
SEP,11,8,19.49,NA,19.9875,12.48791667,6.645,0.3075
SEP,11,9,18.38,NA,20.39791667,12.78041667,6.02375,0.3525
