DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
AGO,13,9,NA,NA,11.715,11.80541667,12.29375,0.41125
AGO,13,10,NA,NA,12.19166667,11.85666667,11.99125,0.455
AGO,13,11,NA,NA,12.70291667,12.18083333,11.26625,0.5875
AGO,13,12,NA,NA,12.56333333,13.27791667,10.6,0.69
AGO,13,13,NA,NA,12.21583333,13.63333333,10.0825,0.74875
AGO,13,14,NA,NA,12.30583333,13.6825,10.8625,0.74
AGO,13,15,NA,NA,12.205,13.71375,12.0475,0.695
AGO,13,16,NA,NA,12.46791667,13.73625,13.2275,0.665
AGO,13,17,NA,NA,12.71458333,13.74875,14.2325,0.65375
AGO,13,18,NA,NA,12.59958333,13.75208333,15.2025,0.645
AGO,13,19,NA,NA,12.99666667,13.76583333,16.25625,0.565
AGO,13,20,14.11,NA,14.22708333,13.79416667,16.935,0.49375
AGO,13,21,NA,NA,13.87958333,13.79041667,17.35125,0.44875
AGO,13,22,NA,NA,13.44666667,13.90833333,16.56375,0.4425
AGO,13,23,NA,NA,13.35541667,14.40708333,15.52625,0.42125
AGO,14,0,12.69,NA,12.99916667,13.23916667,14.5625,0.39875
AGO,14,1,12.01,NA,12.87541667,12.98,13.9225,0.36375
AGO,14,2,NA,NA,13.15041667,13.05541667,12.575,0.33625
AGO,14,3,15.35,NA,13.68125,13.11083333,11.3575,0.29625
AGO,14,4,NA,NA,14.12125,13.17416667,10.2075,0.275
AGO,14,5,NA,NA,14.7875,13.205,8.75125,0.2675
AGO,14,6,NA,NA,15.5225,13.24833333,7.605,0.27375
AGO,14,7,NA,NA,16.16708333,13.32541667,7.00375,0.335
AGO,14,8,NA,NA,17.48875,14.38833333,6.2975,0.39875
AGO,14,9,NA,12.35277778,19.21458333,16.28625,5.355,0.43875
AGO,14,10,NA,13.21055556,20.41416667,17.25125,5.2475,0.45875
AGO,14,11,NA,NA,21.01166667,17.76375,5.52875,0.465
AGO,14,12,NA,14.33388889,22.60625,17.86291667,6.63375,0.47625
