DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
ENE,24,7,0.003,0.0127,0.0207,58,34,13,0.8,284.195,52,623,0.008
ENE,24,8,0.0035,0.0135,0.0188,78,27,12.5,0.7,225.007633,55,623.2,0.054
ENE,24,9,0.0062,0.0162,0.0214,110,38,14.7,1.1,123.994233,49,623.6,0.464
ENE,24,10,0.0138,0.0168,0.0209,90,41,18,0.9,159.312783,40,624,1.064
ENE,24,11,0.027,0.0148,0.012,75,33,19.7,1.5,237.079717,39,624.3,1.985
ENE,24,12,0.0385,0.0151,0.0064,35,17,21.6,2.7,284.511833,33,624,2.839
ENE,24,13,0.0392,0.0144,0.0061,35,16,23.3,2.8,272.743333,29,623.2,3.38
ENE,24,14,0.0415,0.0142,0.0043,12,17,24.9,2.9,276.720167,26,622.3,3.61
ENE,24,15,0.0427,0.0142,0.0041,9,19,26.4,3.1,248.384483,22,621.4,3.097
ENE,24,16,0.0426,0.0145,0.0044,14,7,27,3.1,265.744833,21,620.8,2.214
ENE,24,17,0.0402,0.0147,0.0041,20,16,27.6,2.6,267.5675,19,620.4,1.26
ENE,24,18,0.0388,0.0185,0.0044,27,14,26.7,2.8,255.4625,20,620.4,0.445
ENE,24,19,0.0269,0.0197,0.0125,41,12,24.6,1.9,266.119,22,620.5,0.048
ENE,24,20,0.0191,0.0193,0.0157,62,12,22.6,1.9,254.687667,27,620.9,0.008
ENE,24,21,0.0169,0.0191,0.0164,66,13,21.5,1.8,253.021167,29,621.4,0.008
ENE,24,22,0.0244,0.0192,0.0074,53,22,20.6,3.2,244.844667,27,622.1,0.009
ENE,24,23,0.0203,0.0181,0.0079,33,14,19.2,2.9,228.934,29,622.4,0.008
ENE,25,0,0.022,0.0169,0.0057,34,12,17.8,3.3,240.386,36,622.6,0.008
ENE,25,1,0.0198,0.0166,0.0069,21,12,17.1,1.5,238.274105,40,622.5,0.009
ENE,25,2,0.0175,0.0167,0.0087,29,13,16.4,1.7,181.627467,43,622.5,0.009
ENE,25,3,0.0247,0.0165,0.0041,17,12,16.5,3,229.653167,44,622.2,0.009
ENE,25,4,0.0167,0.0169,0.0073,16,17,14.7,1.4,302.097,50,622.1,0.008
ENE,25,5,0.0064,0.0157,0.0153,25,10,13.5,1.2,279.630833,51,622.2,0.009
ENE,25,6,0.0029,0.016,0.0193,34,19,12.5,1.3,260.852,55,622.4,0.01
ENE,25,7,0.0031,0.015,0.0209,44,13,12.4,1,241.2955,58,622.6,0.009
ENE,25,8,0.0034,0.0135,0.0213,68,14,12,1.1,260.721667,60,622.9,0.064
ENE,25,9,0.0083,0.0157,0.0202,55,23,15.1,1.2,248.328333,53,623.2,0.501
ENE,25,10,0.0217,0.0166,0.01,42,28,18.3,1.4,256.170667,46,623.4,1.364
ENE,25,11,0.0284,0.0159,0.0065,38,16,20.2,2,262.154833,41,623.4,2.353
ENE,25,12,0.0329,0.014,0.0043,30,11,21.5,2.7,258.415867,36,623,3.285
ENE,25,13,0.0353,0.0138,0.0043,26,9,23,4,268.147833,28,622.2,3.697
ENE,25,14,0.0317,0.0135,0.0037,56,23,24.5,6.1,257.708667,18,621.3,3.874
ENE,25,15,0.0356,0.0116,0.004,65,17,25.3,5.7,251.071667,17,620.6,3.294
ENE,25,16,0.037,0.0176,0.0043,45,14,25.9,5.1,255.133833,17,620.2,2.341
ENE,25,17,0.038,0.0167,0.0046,34,10,26.1,4.3,264.853167,18,619.9,1.288
ENE,25,18,0.0334,0.0167,0.0068,45,10,24.5,4.2,270.775424,21,620,0.383
ENE,25,19,0.0229,0.0174,0.0111,NA,18,22.9,3.3,285.365333,24,620.3,0.045
ENE,25,20,0.014,0.016,0.0166,NA,18,21.2,1.9,268.172333,26,620.7,0.009
ENE,25,21,0.0129,0.0151,0.0179,94,41,19.9,1.5,238.077833,29,621.3,0.008
ENE,25,22,0.0133,0.0149,0.016,72,20,19,2.1,207.880833,31,622,0.01
ENE,25,23,0.017,0.015,0.0111,52,16,18.6,2.3,228.407167,31,622.3,0.008
ENE,26,0,0.0102,0.0145,0.0152,48,17,16.7,1.6,289.470667,35,622.3,0.009
ENE,26,1,0.0042,0.0162,0.0184,47,16,15.3,1.1,264.526833,38,622.2,0.009
ENE,26,2,0.0026,0.0165,0.0199,41,18,14.4,1.3,257.005833,40,622.2,0.009
ENE,26,3,0.0032,0.0161,0.0207,38,23,13.8,1.5,261.054833,42,622,0.009
ENE,26,4,0.0035,0.0143,0.0198,44,19,12.9,1.3,264.983,46,621.9,0.01
ENE,26,5,0.0078,0.0129,0.0172,37,17,12.8,1.3,240.9065,49,621.7,0.009
ENE,26,6,0.0085,0.016,0.0166,39,16,12.1,0.9,170.416233,53,621.9,0.009
ENE,26,7,0.0037,0.0168,0.0172,49,12,11.5,0.7,123.6011,53,622,0.009
ENE,26,8,0.0033,0.0228,0.0194,90,24,11.2,1.4,107.756233,53,622.2,0.064
ENE,26,9,0.0068,0.0479,0.0206,132,30,13.6,1.2,98.40045,44,622.7,0.494
ENE,26,10,0.0144,0.0286,0.0209,104,62,17.3,1,157.9965,38,623.1,1.335
ENE,26,11,0.0223,0.0159,0.0126,78,39,19.5,1.6,251.27235,38,623.2,2.374
ENE,26,12,0.0318,0.0114,0.0057,32,23,20.8,1.9,248.676833,35,622.9,3.335
ENE,26,13,0.0375,0.0123,0.0049,18,17,22.8,3,253.407433,30,622.2,3.818
ENE,26,14,0.0401,0.0093,0.0048,17,19,24.6,3.8,267.526,21,621.4,3.897
ENE,26,15,0.0418,0.0121,0.0038,9,10,26.1,4.6,270.451333,13,620.7,3.291
ENE,26,16,0.0387,0.0122,0.0041,27,12,27.1,4.4,277.188667,11,620.1,2.429
ENE,26,17,0.0367,0.0127,0.0044,27,12,27.3,4.2,267.064,12,620,1.349
ENE,26,18,0.0329,0.0122,0.0057,51,9,26.6,3.4,276.673667,13,620.1,0.491
ENE,26,19,0.021,0.0126,0.0118,97,9,24.1,2.5,280.415167,16,620.6,0.055
ENE,26,20,0.0072,0.0132,0.0232,99,13,21.4,1.8,268.6105,22,621,0.01
ENE,26,21,0.0074,0.0135,0.0218,73,29,20,1.3,240.840833,25,621.6,0.01
ENE,26,22,0.0115,0.0116,0.0169,67,19,19.5,1.8,229.004833,27,622,0.009
ENE,26,23,0.012,0.0115,0.0143,55,21,18.4,2.6,270.545667,30,622.2,0.009
ENE,27,0,0.0099,0.0122,0.0153,45,20,17.3,1.2,267.093,32,622.4,0.009
ENE,27,1,0.0053,0.0173,0.0191,62,23,16,1.5,262.723667,34,622.5,0.009
ENE,27,2,0.0057,0.0192,0.0185,50,22,15.2,1.2,183.332633,37,622.7,0.009
ENE,27,3,0.0065,0.018,0.0196,43,26,14.5,1.4,95.374633,41,622.8,0.009
ENE,27,4,0.0032,0.0187,0.0254,45,23,13.7,0.9,117.356933,41,622.6,0.009
ENE,27,5,0.0032,0.0237,0.0228,56,27,13.2,1.3,105.333967,38,622.5,0.01
ENE,27,6,0.0034,0.0436,0.0212,94,30,12.2,1.5,91.616817,41,622.6,0.009
ENE,27,7,0.0033,0.0235,0.0211,106,35,11.1,1.5,81.8216,42,623.1,0.009
ENE,27,8,0.0034,0.0244,0.0219,108,33,10.8,2,101.6011,42,623.6,0.063
ENE,27,9,0.0076,0.0394,0.0203,112,35,13.2,2.4,105.193967,36,624.2,0.478
ENE,27,10,0.0158,0.0438,0.0195,110,37,16.7,2.9,104.2736,33,624.6,1.283
ENE,27,11,0.0199,0.0251,0.018,88,52,19.8,2.9,119.5508,32,624.6,2.252
ENE,27,12,0.0326,0.0301,0.0144,77,34,22.5,2.7,107.229433,28,624.2,3.167
ENE,27,13,0.0432,0.0217,0.012,52,34,25.3,3.6,102.59085,21,623.4,3.63
ENE,27,14,0.0478,0.0204,0.0111,50,29,27.4,4,86.357467,17,622.6,3.583
ENE,27,15,0.054,0.0203,0.0118,55,27,28.8,4.1,83.547533,15,621.8,2.959
ENE,27,16,0.0503,0.021,0.0116,63,22,29.5,3.6,85.287683,14,621.1,2.107
ENE,27,17,0.0483,0.0206,0.0102,72,15,29.5,4.3,85.323533,14,620.9,1.292
ENE,27,18,0.0427,0.0156,0.0095,103,13,27.8,5.9,87.136933,20,621,0.45
ENE,27,19,0.0319,0.0164,0.0087,273,33,24,7.3,79.906933,34,621.9,0.051
ENE,27,20,0.0285,0.016,0.0073,339,45,21.1,7.9,79.345767,44,623,0.009
ENE,27,21,0.0233,0.029,0.0083,219,49,18.9,7.9,66.282617,53,623.9,0.009
ENE,27,22,0.022,0.0368,0.0092,102,35,17.4,8.3,67.4101,57,624.7,0.009
ENE,27,23,0.0156,0.0639,0.0141,84,28,16.2,7.6,66.55915,60,625.3,0.008
ENE,28,0,0.0184,0.0505,0.0115,56,21,15.1,7.3,65.580567,62,625.6,0.008
ENE,28,1,0.0249,0.016,0.0046,44,33,14.6,7.2,66.557617,62,625.7,0.009
ENE,28,2,0.0255,0.0163,0.0036,29,12,13.8,6,69.53985,64,625.9,0.009
ENE,28,3,0.0262,0.0201,0.0034,22,12,13.5,6,69.861533,64,626,0.009
ENE,28,4,0.0274,0.0208,0.0032,16,12,13.3,5.3,71.072,64,626,0.009
ENE,28,5,0.0264,0.0213,0.0041,22,19,12.9,5.5,78.294783,64,626,0.009
ENE,28,6,0.0264,0.0202,0.0038,18,16,12.5,5.6,79.564417,65,626.1,0.009
ENE,28,7,0.025,0.0186,0.0053,29,19,12.4,5.2,83.934467,64,626.4,0.009
ENE,28,8,0.024,0.0174,0.0066,18,15,12.4,5.3,73.358467,64,626.8,0.057
ENE,28,9,0.0234,0.017,0.0082,33,14,13.1,6.2,72.127417,61,627.5,0.256
ENE,28,10,0.0251,0.0178,0.0074,40,10,14.2,5.9,67.852367,58,628,0.609
ENE,28,11,0.0285,0.0175,0.006,27,8,16.7,6.3,68.993183,50,627.9,2.114
ENE,28,12,0.0305,0.018,0.0064,53,8,18.8,6,74.233317,44,627.6,3.112
ENE,28,13,0.0332,0.0192,0.0076,47,9,20.1,5.8,92.45085,40,627,3.475
ENE,28,14,0.0355,0.0181,0.0077,40,15,21.3,5.7,96.3521,37,626.2,3.604
ENE,28,15,0.0379,0.0187,0.0075,34,3,22.5,5.4,79.192867,35,625.4,3.094
ENE,28,16,0.0398,0.0189,0.0075,41,23,23.4,4.4,76.327517,33,624.9,2.253
ENE,28,17,0.0375,0.019,0.0094,47,23,24,4,82.816283,32,624.6,1.291
ENE,28,18,0.0347,0.0204,0.0102,63,103,23.1,4.8,105.213933,33,624.6,0.485
ENE,28,19,0.0278,0.0229,0.0136,83,17,21.2,4.5,89.539467,37,624.8,0.058
ENE,28,20,0.0232,0.0178,0.0105,74,16,19.7,4.5,75.682133,39,625.3,0.009
ENE,28,21,0.0225,0.0178,0.0081,60,8,17.5,4.9,77.092217,43,625.9,0.008
ENE,28,22,0.0249,0.0182,0.0057,50,9,15.7,5.5,73.06045,47,626.4,0.008
ENE,28,23,0.0249,0.0176,0.0056,34,12,14.4,4.7,78.5234,51,626.7,0.008
ENE,29,0,0.0257,0.0169,0.0047,19,10,13.4,4.5,75.911767,55,626.8,0.009
ENE,29,1,0.026,0.0179,0.0043,21,7,12.5,4.5,77.338617,58,626.7,0.009
ENE,29,2,0.0264,0.0178,0.0039,10,7,11.9,4.7,71.92265,61,626.7,0.009
ENE,29,3,0.0266,0.0172,0.0041,12,6,11.7,3.8,78.157017,63,626.4,0.008
ENE,29,4,0.0262,0.0148,0.0042,9,6,11.3,3.6,78.60195,65,626.2,0.009
ENE,29,5,0.0239,0.0149,0.0049,10,3,10.9,3.2,82.831183,67,626,0.009
ENE,29,6,0.0216,0.0189,0.0062,11,5,10.5,3,86.094683,69,625.8,0.008
ENE,29,7,0.0157,0.0193,0.0106,22,5,10.2,2.5,92.81135,70,626,0.009
ENE,29,8,0.0066,0.0186,0.0192,27,5,10.1,1.8,109.194683,71,626.4,0.063
ENE,29,9,0.0068,0.0193,0.0196,51,5,11,1.8,100.495967,68,626.8,0.425
ENE,29,10,0.016,0.0216,0.0137,57,20,13.6,2.6,92.606067,60,627,1.242
ENE,29,11,0.0243,0.0203,0.0079,34,9,15.7,3.6,86.68575,54,627,2.179
ENE,29,12,0.0275,0.0214,0.0083,23,18,17.9,2.7,104.544483,48,626.5,3.028
ENE,29,13,0.0325,0.0226,0.0097,20,16,20.2,2.1,125.999017,43,625.7,3.617
ENE,29,14,0.0401,0.0206,0.0093,31,22,22.2,1.5,146.4924,37,624.8,3.301
ENE,29,15,0.0469,0.0207,0.0082,45,25,24.2,1.9,200.067233,32,623.8,3.167
ENE,29,16,0.0515,0.0202,0.0059,50,25,24.6,2.4,254.982083,32,623.2,2.061
ENE,29,17,0.0501,0.0202,0.005,54,17,24.2,2.7,279.1165,31,622.9,1.131
ENE,29,18,0.0502,0.0209,0.0052,49,16,24.3,2.4,275.987167,30,622.8,0.501
ENE,29,19,0.0403,0.0215,0.0117,71,20,22.6,1.7,296.052,33,622.8,0.053
ENE,29,20,0.0131,0.0213,0.0345,94,28,21.2,1.1,254.169333,36,623,0.01
ENE,29,21,0.0038,0.022,0.0441,121,25,20,1,203.61,38,623.2,0.009
ENE,29,22,0.0032,0.0209,0.0418,168,34,18.7,0.9,194.738433,43,623.6,0.008
ENE,29,23,0.0021,0.02,0.0364,160,52,17,1.1,196.173368,46,623.9,0.009
ENE,30,0,0.0037,0.0189,0.0343,103,42,16.6,0.5,141.248333,47,624,0.008
ENE,30,1,0.0054,0.0163,0.0303,126,45,15.6,0.5,221.621433,51,623.8,0.008
ENE,30,2,0.0335,0.0183,0.0292,144,49,14.9,0.9,120.92485,53,623.8,0.009
ENE,30,3,0.0073,0.0175,0.0291,144,65,13.9,1.2,123.59665,54,623.7,0.009
ENE,30,4,0.002,0.0187,0.0267,83,49,13.5,0.8,219.829,54,623.6,0.009
ENE,30,5,0.002,0.0152,0.0249,86,40,12.2,1.1,266.135333,58,623.7,0.009
ENE,30,6,0.0034,0.0195,0.0257,96,37,12.3,1,115.767317,58,623.8,0.01
ENE,30,7,0.015,0.0227,0.0249,117,43,12.2,1.3,77.0719,59,624.2,0.008
ENE,30,8,0.0191,0.0248,0.0272,124,51,11.6,1.3,100.037783,59,624.6,0.06
ENE,30,9,0.0058,0.0214,0.0273,115,55,13.6,1.4,108.436,53,624.8,0.45
ENE,30,10,0.012,0.0249,0.0233,114,48,17.4,1.5,101.532717,47,624.9,1.248
ENE,30,11,0.0304,0.0189,0.0096,83,59,19.7,2,241.766483,45,624.9,2.254
ENE,30,12,0.0425,0.0172,0.0074,53,25,21.9,1.7,234.69255,38,624.3,3.224
ENE,30,13,0.0471,0.0177,0.0064,41,21,24,2,237.85485,33,623.4,3.753
ENE,30,14,0.0495,0.018,0.0047,30,27,25.5,2.2,230.454917,27,622.4,3.899
ENE,30,15,0.0492,0.0164,0.0059,25,22,27,2.5,226.909,24,621.6,3.286
ENE,30,16,0.049,0.0132,0.0055,27,18,27.8,2.7,247.620667,21,620.9,2.424
ENE,30,17,0.0508,0.0163,0.0049,38,17,28,2.5,270.7287,18,620.8,1.395
ENE,30,18,0.0499,0.0169,0.0047,43,15,27.4,2.7,292.523,17,620.8,0.523
ENE,30,19,0.0382,0.017,0.0106,61,16,25.3,1.8,283.047333,22,621,0.063
ENE,30,20,0.0054,0.016,0.0383,96,23,23,0.9,232.735167,27,621.3,0.009
ENE,30,21,0.0029,0.0153,0.0388,163,40,20.9,1.4,273.016833,31,621.8,0.01
ENE,30,22,0.0138,0.0157,0.028,121,49,19.5,1.5,257.33,34,622.1,0.009
ENE,30,23,0.0117,0.0159,0.0257,86,37,18.4,1.7,266.988333,37,622.4,0.008
ENE,31,0,0.0145,0.0156,0.0226,80,21,18.1,1.6,226.898333,36,622.8,0.009
ENE,31,1,0.0118,0.0157,0.026,72,34,18,1.8,189.8115,36,622.7,0.009
ENE,31,2,0.0122,0.0174,0.0217,74,29,16.5,1.1,103.650983,40,622.7,0.009
ENE,31,3,0.0088,0.0177,0.0225,94,37,15.2,0.8,158.553033,43,622.8,0.008
ENE,31,4,0.0057,0.022,0.0253,93,42,14.6,1.2,146.629283,44,622.9,0.01
ENE,31,5,0.0065,0.0395,0.0232,96,47,13.9,1,139.441592,46,622.9,0.009
ENE,31,6,0.0129,0.0384,0.0175,108,44,13.5,1.2,123.110483,46,623.3,0.009
ENE,31,7,0.0064,0.0338,0.0211,88,37,12.4,0.7,138.302233,49,623.7,0.008
ENE,31,8,0.006,0.0617,0.0238,126,37,12.6,1.6,103.038283,48,623.9,0.062
ENE,31,9,0.0113,0.0414,0.0203,140,49,13.4,2.4,103.7454,45,624.3,0.464
ENE,31,10,0.019,0.0286,0.0193,112,48,16.5,2.4,100.844517,40,624.8,1.257
ENE,31,11,0.0319,0.0336,0.0144,106,50,20.3,2,99.61365,34,624.9,2.306
ENE,31,12,0.04,0.0223,0.0107,63,33,23.1,2.9,107.036267,30,624.5,3.276
ENE,31,13,0.044,0.0152,0.0082,40,17,25.1,3,79.743433,24,623.7,3.75
ENE,31,14,0.0455,0.0147,0.009,35,18,27,4,95.268683,18,622.9,3.834
ENE,31,15,0.0479,0.016,0.0088,43,20,28.2,3.6,113.878033,17,622.2,3.298
ENE,31,16,0.0486,0.0168,0.0085,46,12,28.8,3.4,105.345033,16,621.7,2.401
ENE,31,17,0.0462,0.0168,0.0082,52,10,28.9,3.8,112.940367,16,621.5,1.377
ENE,31,18,0.041,0.0178,0.0087,54,9,28.3,4.2,103.012083,16,621.7,0.514
ENE,31,19,0.0303,0.0477,0.0087,84,12,25.9,5.7,51.786883,23,622.1,0.063
ENE,31,20,0.0254,0.0679,0.0095,113,30,23.2,5.7,52.284317,31,623,0.009
ENE,31,21,0.0224,0.0718,0.01,107,42,19.9,6.8,49.3913,43,623.8,0.009
ENE,31,22,0.0223,0.0817,0.0097,132,28,18.2,7.7,54.176417,49,624.6,0.009
ENE,31,23,0.0247,0.0946,0.0077,100,38,17.4,7,65.30085,51,625.3,0.009
