DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
MAYO,6,15,0.0635,0.0058,0.864,NA,44,14,28.22,5.94,98.96,29.49,623.37,2.23
MAYO,6,16,0.0523,0.0056,0.817,NA,64,23,29,6.28,84.38,22.49,622.87,3.16
MAYO,6,17,0.0591,0.0055,0.856,NA,44,15,29.27,4.77,86.93,25.34,622.31,1.94
MAYO,6,18,0.0592,0.0062,0.885,NA,85,19,28.95,4.3,79.23,24.88,622.25,0.77
MAYO,6,19,0.0449,0.0185,0.818,NA,64,26,28.19,5.09,68.5,23.84,622.44,0.22
MAYO,6,20,0.0376,0.0248,0.829,NA,54,27,26.97,4.96,68.51,24.80,623.05,0.02
MAYO,6,21,0.0313,0.0123,0.865,NA,56,21,24.9,4.38,81.24,32.75,623.95,0.01
MAYO,6,22,0.0371,0.0055,0.733,NA,46,22,23.16,4.96,74.09,30.55,624.76,0.01
MAYO,6,23,0.0422,0.0054,0.655,NA,48,18,21.94,5.74,81.21,34.51,625.38,0.01
MAYO,7,0,0.0419,0.0055,0.651,NA,36,19,20.93,5.84,86.73,42.53,625.76,0.01
MAYO,7,1,0.0391,0.0055,0.648,NA,37,21,20.04,4.19,82.11,47.84,625.72,0.01
MAYO,7,2,0.0371,0.0055,0.651,NA,28,16,19.18,4.1,80.21,53.38,625.56,0.01
MAYO,7,3,0.0364,0.0056,0.676,NA,29,18,18.59,4.17,80.13,57.61,625.27,0.01
MAYO,7,4,0.0314,0.0066,0.721,NA,22,21,17.73,3.28,78.03,60.85,625.22,0.01
MAYO,7,5,0.0267,0.0185,0.702,NA,26,18,17.2,3.84,74.66,62.64,625.15,0.01
MAYO,7,6,0.0233,0.0149,0.765,NA,28,25,16.68,2.76,87.43,64.11,625.40,0.01
MAYO,7,7,0.0203,0.0177,0.922,NA,34,18,16.84,3.38,78.91,63.40,625.75,0.09
MAYO,7,8,0.0249,0.0088,0.946,NA,53,33,18,3.75,84.07,58.35,626.11,0.56
MAYO,7,9,0.0334,0.0072,0.917,NA,44,29,19.78,5.09,80.54,52.08,626.39,1.54
MAYO,7,10,0.0375,0.008,0.882,NA,36,24,21.74,5.53,82.29,43.44,626.35,2.84
MAYO,7,11,0.0422,0.0059,0.833,NA,49,23,22.97,6.68,80.84,37.81,626.11,4.15
MAYO,7,12,0.0487,0.0062,0.871,NA,53,27,24.21,6.12,82.88,37.15,625.45,5.09
MAYO,7,13,0.0517,0.0062,0.882,NA,38,19,25.93,4.8,80.09,33.46,624.65,5.58
MAYO,7,14,0.0528,0.0058,0.802,NA,16,19,27.42,4.77,99.28,30.22,624.04,5.58
MAYO,7,15,0.0534,0.006,0.815,NA,7,27,28.64,4.42,88.92,27.54,623.27,4.37
MAYO,7,16,0.0552,0.006,0.806,NA,40,19,29.15,4.27,84.27,25.51,622.64,3.21
MAYO,7,17,0.0548,0.0064,0.779,NA,46,13,29.27,4.44,76.52,25.09,622.22,1.87
MAYO,7,18,0.0503,0.0062,0.847,NA,40,16,28.92,4.75,77.15,25.59,622.05,1.00
MAYO,7,19,0.0402,0.0135,0.823,NA,46,15,27.74,4.62,53.87,28.55,622.19,0.25
MAYO,7,20,0.0353,0.0128,0.764,NA,52,18,25.07,5.85,42.38,35.62,622.70,0.02
MAYO,7,21,0.0326,0.0387,0.776,NA,45,15,24.01,5.3,54.14,39.30,623.21,0.01
MAYO,7,22,0.0309,0.0409,0.732,NA,56,24,23.34,4.42,61.63,41.59,623.76,0.01
MAYO,7,23,0.0312,0.011,0.681,NA,42,21,21.95,4.73,75.11,46.38,624.42,0.01
MAYO,8,0,0.0282,0.0056,0.657,NA,35,10,20.63,3.91,81.66,51.46,624.69,0.01
MAYO,8,1,0.0274,0.0054,0.653,NA,31,12,19.6,3.83,81.64,55.88,624.33,0.01
MAYO,8,2,0.0286,0.0053,0.634,NA,24,19,18.9,3.87,77.18,58.63,623.96,0.01
MAYO,8,3,0.027,0.0052,0.628,NA,27,14,18.13,4.09,84.04,62.71,623.69,0.01
MAYO,8,4,0.0263,0.0051,0.63,NA,21,14,17.73,3.08,84.2,64.12,623.59,0.01
MAYO,8,5,0.0267,0.0052,0.655,NA,23,18,17.53,2.6,80.06,65.05,623.81,0.01
MAYO,8,6,0.0193,0.0054,0.744,NA,27,13,16.77,2.76,82.11,68.44,624.15,0.01
MAYO,8,7,0.0141,0.0053,0.86,NA,37,14,16.4,2.59,82.51,69.49,624.23,0.09
MAYO,8,8,0.014,0.0274,0.999,NA,46,20,17.56,2.69,84.24,64.78,624.50,0.54
MAYO,8,9,0.0273,0.0068,0.919,NA,39,26,19.69,3.05,78.3,56.48,624.72,1.44
MAYO,8,10,0.0345,0.006,0.96,NA,32,17,21.8,2.85,105.96,49.54,624.69,2.63
MAYO,8,11,0.0444,0.0109,0.853,NA,22,23,24.02,2.21,139.88,42.75,624.49,3.87
MAYO,8,12,0.0525,0.0163,0.842,NA,28,26,25.86,2.11,120.19,38.23,624.07,4.82
MAYO,8,13,0.0647,0.0163,0.78,NA,38,37,27.03,2.05,149.84,34.34,623.55,5.14
MAYO,8,14,0.0724,0.0102,0.734,NA,30,32,29.13,2.06,222.49,30.14,622.61,5.08
MAYO,8,15,0.0727,0.0073,0.78,NA,40,26,30.13,2.27,212.24,27.68,621.65,4.08
MAYO,8,16,0.0736,0.0075,0.74,NA,32,25,31.24,2.52,130.33,24.40,620.98,3.15
MAYO,8,17,0.068,0.0075,0.709,NA,52,23,29.69,3.64,161.79,27.03,620.67,1.48
MAYO,8,18,0.0628,0.0059,0.708,NA,63,20,28.31,4.32,293.37,29.02,620.68,0.67
MAYO,8,19,0.0559,0.0054,0.729,NA,60,16,26.76,4.18,304.49,32.22,621.00,0.20
MAYO,8,20,0.05,0.0054,0.764,NA,60,22,25.35,4.09,293.58,34.40,621.78,0.02
MAYO,8,21,0.0475,0.0056,0.786,NA,46,16,24.51,3.14,289.55,35.89,622.47,0.01
MAYO,8,22,0.0475,0.0058,0.787,NA,39,18,24.13,2.08,275.13,37.16,622.98,0.01
MAYO,8,23,0.0402,0.0056,0.804,NA,48,19,23.54,1.88,254.1,38.23,623.40,0.01
MAYO,9,0,0.0361,0.006,0.802,NA,51,34,23.11,2.06,223.26,38.98,623.53,0.01
MAYO,9,1,0.033,0.0057,0.776,NA,65,34,22.48,2.48,242.22,42.98,623.46,0.01
MAYO,9,2,0.0307,0.0057,0.755,NA,56,38,21.18,2.52,267.15,49.07,623.19,0.01
MAYO,9,3,0.0323,0.0056,0.744,NA,49,35,20.45,2.09,300.02,53.27,623.00,0.01
MAYO,9,4,0.0296,0.0056,0.712,NA,41,28,19.7,1.79,284.58,57.67,622.79,0.01
MAYO,9,5,0.0287,0.0056,0.707,NA,42,33,19.05,1.39,251.86,60.48,622.80,0.01
MAYO,9,6,0.0213,0.0055,0.796,NA,44,22,18.74,1.61,242.09,61.81,622.99,0.01
MAYO,9,7,0.0178,0.0055,0.883,NA,56,27,18.24,1.67,240.88,64.67,623.48,0.08
MAYO,9,8,0.0215,0.0059,0.912,NA,51,29,19.7,2.11,239.2,62.49,623.82,0.48
MAYO,9,9,0.0294,0.0058,0.964,NA,42,32,21.31,2.7,239.65,60.31,623.98,1.23
MAYO,9,10,0.0383,0.0059,0.907,NA,43,37,22.73,2.44,248.47,56.27,623.92,1.88
MAYO,9,11,0.0488,0.0056,0.833,NA,42,42,24.38,2.82,270.32,49.56,623.76,3.14
MAYO,9,12,0.0548,0.0056,0.821,NA,73,33,26.06,2.69,263.33,42.96,623.52,3.98
