DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
AGO,14,19,84.74,7.76,0.439,8.47,29,17
AGO,14,20,83.52,8.02,0.438,4.92,29,17
AGO,14,21,79.56,8.23,0.436,6.41,29,17
AGO,14,22,71.99,8.39,0.403,4.91,29,17
AGO,14,23,61.56,8.63,0.356,4.89,29,17
AGO,15,0,54.74,8.92,0.289,2.16,30,18
AGO,15,1,48.50,9.22,0.253,2.91,29,18
AGO,15,2,40.41,9.50,0.217,7.21,30,18
AGO,15,3,35.07,9.82,0.196,6.37,30,18
AGO,15,4,31.64,10.68,0.217,12.68,30,18
AGO,15,5,27.60,11.42,0.227,19.46,31,19
AGO,15,6,22.67,11.65,0.258,16.44,31,19
AGO,15,7,18.21,11.85,0.330,19.84,32,19
AGO,15,8,13.61,12.12,0.408,15.53,32,20
AGO,15,9,11.96,12.38,0.470,9.21,33,20
AGO,15,10,13.08,12.48,0.511,6.29,33,20
AGO,15,11,15.61,11.96,0.543,6.71,34,20
AGO,15,12,20.17,11.53,0.540,5.32,34,20
AGO,15,13,27.47,11.08,0.529,2.38,34,20
AGO,15,14,35.39,10.44,0.493,0.30,32,20
AGO,15,15,43.79,9.76,0.421,0.30,31,19
AGO,15,16,53.08,9.05,0.358,1.38,30,18
AGO,15,17,60.64,8.68,0.307,0.30,29,18
AGO,15,18,66.13,8.15,0.266,0.30,30,18
AGO,15,19,69.22,7.92,0.237,3.68,29,18
AGO,15,20,68.73,7.70,0.234,9.97,29,18
AGO,15,21,65.76,7.43,0.240,12.90,29,18
AGO,15,22,61.32,7.27,0.271,18.36,30,18
AGO,15,23,55.64,7.03,0.279,15.99,32,19
AGO,16,0,52.47,6.73,0.258,0.30,33,19
AGO,16,1,48.07,6.45,0.244,1.77,34,20
AGO,16,2,44.25,6.22,0.245,1.79,34,20
AGO,16,3,41.21,5.91,0.238,1.06,33,19
AGO,16,4,38.82,5.05,0.220,3.98,33,19
AGO,16,5,37.32,4.29,0.205,3.96,33,19
AGO,16,6,34.54,4.05,0.222,23.13,32,18
AGO,16,7,31.82,3.82,0.334,24.82,32,18
AGO,16,8,26.40,3.59,0.452,24.85,32,18
AGO,16,9,24.05,3.40,0.504,13.76,31,18
AGO,16,10,22.76,3.25,0.536,6.67,32,18
AGO,16,11,22.79,3.90,0.559,8.95,32,18
AGO,16,12,26.92,4.67,0.603,8.75,34,19
AGO,16,13,33.99,4.97,0.664,5.55,36,19
AGO,16,14,43.88,5.05,0.653,3.97,37,19
AGO,16,15,53.52,5.02,0.555,3.78,38,20
AGO,16,16,62.11,4.84,0.449,0.84,38,21
AGO,16,17,68.93,4.91,0.405,0.30,39,21
AGO,16,18,74.00,5.11,0.385,2.99,38,21
AGO,16,19,75.86,5.20,0.372,7.32,38,21
AGO,16,20,71.81,5.29,0.353,16.34,38,21
AGO,16,21,63.67,5.34,0.320,19.15,38,21
AGO,16,22,53.29,5.42,0.333,33.26,39,21
AGO,16,23,45.43,5.45,0.331,22.95,39,21
AGO,17,0,38.91,5.54,0.326,14.06,38,21
AGO,17,1,32.65,5.64,0.319,11.56,38,21
AGO,17,2,26.15,5.60,0.309,13.10,38,21
AGO,17,3,23.97,5.59,0.297,5.34,38,21
AGO,17,4,22.70,5.57,0.275,13.33,39,21
AGO,17,5,20.39,5.55,0.257,23.74,39,21
AGO,17,6,20.00,5.54,0.251,25.13,40,21
AGO,17,7,18.22,5.50,0.293,22.64,41,21
AGO,17,8,15.44,5.46,0.368,18.56,42,21
AGO,17,9,12.14,5.52,0.427,15.36,44,21
AGO,17,10,10.81,5.64,0.461,7.97,45,22
AGO,17,11,9.00,4.99,0.492,7.06,45,21
AGO,17,12,10.51,4.22,0.517,6.42,44,21
AGO,17,13,15.74,3.96,0.530,5.12,42,21
AGO,17,14,21.74,3.99,0.503,3.66,41,20
AGO,17,15,27.12,4.12,0.448,3.42,41,20
AGO,17,16,32.72,4.29,0.376,2.28,41,19
AGO,17,17,38.91,4.43,0.320,0.30,41,19
AGO,17,18,43.13,4.52,0.290,0.79,40,18
AGO,17,19,44.58,4.56,0.271,2.94,40,18
AGO,17,20,41.98,4.62,0.269,10.68,40,17
AGO,17,21,37.26,4.77,0.262,12.72,39,17
AGO,17,22,32.85,4.95,0.258,8.27,38,17
AGO,17,23,29.26,5.24,0.262,6.18,37,17
AGO,18,0,26.71,5.52,0.264,1.68,38,17
AGO,18,1,24.35,5.68,0.263,0.30,37,17
AGO,18,2,22.20,5.88,0.267,4.00,36,16
AGO,18,3,21.70,6.01,0.255,2.18,36,16
AGO,18,4,23.84,6.10,0.222,0.30,36,16
AGO,18,5,25.50,6.27,0.196,0.30,35,16
AGO,18,6,26.16,6.44,0.180,3.76,34,16
AGO,18,7,26.60,6.61,0.184,8.23,32,15
AGO,18,8,26.62,6.73,0.208,9.84,29,15
AGO,18,9,25.19,6.70,0.253,8.48,27,14
AGO,18,10,25.02,6.75,0.284,6.84,26,13
AGO,18,11,26.09,6.73,0.321,4.15,26,13
AGO,18,12,28.53,6.67,0.375,4.88,26,12
AGO,18,13,33.27,6.47,0.423,3.62,26,12
AGO,18,14,38.96,6.28,0.459,3.94,27,13
AGO,18,15,44.48,5.95,0.465,2.61,28,13
AGO,18,16,48.41,5.72,0.445,0.99,28,13
AGO,18,17,53.23,5.48,0.403,0.30,28,14
AGO,18,18,57.41,5.30,0.371,0.74,28,14
