DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,6,2,41.22,8.05,0.220,5.44,35,21
SEP,6,3,38.28,7.97,0.205,7.48,35,22
SEP,6,4,36.59,7.82,0.183,7.36,35,22
SEP,6,5,32.87,7.65,0.170,10.42,35,22
SEP,6,6,28.19,7.44,0.179,13.23,36,23
SEP,6,7,22.82,7.26,0.218,15.71,36,23
SEP,6,8,17.12,7.07,0.279,19.90,36,23
SEP,6,9,12.86,6.84,0.326,19.39,37,24
SEP,6,10,11.96,6.63,0.356,13.45,38,25
SEP,6,11,13.48,6.29,0.396,13.30,38,26
SEP,6,12,16.46,5.54,0.426,9.22,39,26
SEP,6,13,20.73,4.58,0.479,10.34,39,26
SEP,6,14,25.95,4.14,0.510,9.75,39,26
SEP,6,15,33.97,3.93,0.497,7.15,38,26
SEP,6,16,42.27,3.42,0.459,5.42,38,26
SEP,6,17,49.49,3.28,0.425,4.26,35,26
SEP,6,18,53.88,3.23,0.394,0.30,32,26
SEP,6,19,54.30,3.16,0.381,9.99,31,25
SEP,6,20,52.00,3.23,0.379,13.31,32,25
SEP,6,21,48.84,3.30,0.353,16.15,33,25
SEP,6,22,44.67,3.28,0.332,15.70,34,25
SEP,6,23,37.87,3.27,0.323,12.83,35,25
SEP,7,0,31.00,3.34,0.312,9.86,36,24
SEP,7,1,25.00,3.42,0.305,6.81,36,24
SEP,7,2,19.94,3.64,0.309,4.20,36,24
SEP,7,3,16.97,3.74,0.282,5.71,35,24
SEP,7,4,14.65,3.78,0.252,6.55,35,24
SEP,7,5,13.25,3.77,0.222,7.94,35,24
SEP,7,6,12.08,3.81,0.209,10.74,34,23
SEP,7,7,10.86,3.87,0.231,15.28,34,23
SEP,7,8,9.43,3.94,0.294,13.00,36,23
SEP,7,9,7.74,4.05,0.332,8.89,36,22
SEP,7,10,6.14,4.16,0.373,7.94,35,21
SEP,7,11,6.24,4.16,0.411,7.12,35,20
SEP,7,12,7.73,4.13,0.448,6.72,34,20
SEP,7,13,10.08,4.28,0.472,6.41,34,19
SEP,7,14,13.34,4.46,0.470,5.03,33,19
SEP,7,15,18.49,4.91,0.447,7.18,32,19
SEP,7,16,23.42,5.05,0.387,5.23,32,18
SEP,7,17,27.37,4.96,0.343,0.97,32,18
SEP,7,18,30.99,4.97,0.296,0.30,32,17
SEP,7,19,32.71,4.96,0.260,2.09,32,17
SEP,7,20,33.15,4.93,0.236,4.99,32,17
SEP,7,21,32.30,4.90,0.226,5.24,33,17
SEP,7,22,31.24,4.94,0.215,1.47,32,17
SEP,7,23,28.81,4.95,0.196,0.76,31,17
SEP,8,0,26.54,4.85,0.181,1.32,30,17
SEP,8,1,25.38,4.68,0.180,0.82,30,17
SEP,8,2,23.41,4.60,0.183,1.81,29,16
SEP,8,3,21.83,4.54,0.180,0.48,29,16
SEP,8,4,19.82,4.48,0.166,1.89,29,16
SEP,8,5,18.41,4.48,0.153,1.83,28,16
SEP,8,6,16.25,4.48,0.153,2.57,28,16
SEP,8,7,14.28,4.42,0.158,2.03,27,16
SEP,8,8,13.35,4.34,0.179,4.04,25,15
SEP,8,9,13.33,4.42,0.224,8.57,24,15
SEP,8,10,14.66,4.42,0.268,5.11,24,15
SEP,8,11,17.29,4.30,0.310,4.83,24,15
SEP,8,12,21.69,4.22,0.351,4.82,24,15
SEP,8,13,27.39,4.14,0.369,3.33,24,15
SEP,8,14,33.63,3.92,0.385,3.15,24,15
SEP,8,15,40.24,3.47,0.388,0.88,24,14
SEP,8,16,46.72,3.33,0.378,1.90,24,15
SEP,8,17,52.32,3.41,0.336,0.47,23,15
SEP,8,18,57.04,3.28,0.291,0.30,24,16
SEP,8,19,59.14,3.22,0.261,3.52,24,16
SEP,8,20,58.10,3.13,0.240,9.56,23,16
SEP,8,21,55.40,3.12,0.238,8.24,22,16
SEP,8,22,51.80,3.11,0.231,6.72,23,16
SEP,8,23,47.15,3.07,0.228,7.18,23,16
SEP,9,0,42.54,2.99,0.222,3.65,24,16
SEP,9,1,38.69,2.90,0.221,0.63,24,17
SEP,9,2,35.04,2.73,0.218,0.30,24,17
SEP,9,3,32.16,2.72,0.203,2.14,25,17
SEP,9,4,30.69,2.71,0.179,4.58,25,17
SEP,9,5,30.71,2.69,0.162,3.11,25,17
SEP,9,6,28.88,2.69,0.169,12.13,25,17
SEP,9,7,26.19,2.66,0.315,23.07,25,17
SEP,9,8,22.58,2.64,0.416,19.85,26,17
SEP,9,9,20.00,2.52,0.461,8.54,26,17
SEP,9,10,19.03,2.42,0.494,4.12,26,17
SEP,9,11,21.12,2.44,0.508,0.94,25,17
SEP,9,12,25.06,2.60,0.539,3.38,25,17
SEP,9,13,29.23,2.67,0.554,2.26,25,17
SEP,9,14,35.88,2.65,0.549,2.59,26,17
SEP,9,15,44.19,2.62,0.402,0.93,26,18
SEP,9,16,53.34,2.58,0.298,1.55,27,18
SEP,9,17,60.92,2.58,0.257,0.91,27,18
SEP,9,18,66.06,2.68,0.233,1.59,28,18
SEP,9,19,66.37,2.77,0.236,6.63,28,18
SEP,9,20,63.84,2.87,0.221,9.09,29,18
SEP,9,21,59.06,2.95,0.216,6.34,29,18
SEP,9,22,56.22,3.04,0.200,0.30,29,18
SEP,9,23,51.79,3.12,0.196,2.28,29,17
SEP,10,0,46.97,3.20,0.195,0.49,29,17
SEP,10,1,41.55,3.31,0.191,1.66,30,17
SEP,10,2,36.71,3.44,0.184,0.30,29,17
SEP,10,3,33.95,3.49,0.167,0.30,29,17
SEP,10,4,32.94,3.65,0.150,0.60,29,16
SEP,10,5,32.34,3.75,0.136,2.24,30,16
SEP,10,6,28.95,3.80,0.174,10.59,30,16
SEP,10,7,25.62,3.93,0.270,19.32,30,16
SEP,10,8,22.22,4.21,0.339,12.26,30,16
SEP,10,9,19.99,4.43,0.390,9.22,31,17
SEP,10,10,19.44,4.64,0.426,8.47,32,17
SEP,10,11,20.92,4.84,0.462,3.26,33,17
SEP,10,12,19.90,4.94,0.510,4.59,33,18
SEP,10,13,19.04,5.00,0.574,4.69,33,17
SEP,10,14,20.22,5.10,NA,3.36,33,17
SEP,10,15,30.30,5.13,NA,2.05,32,17
SEP,10,16,39.67,4.95,NA,2.30,33,17
SEP,10,17,46.15,4.71,NA,3.61,33,16
SEP,10,18,50.41,4.56,NA,2.00,33,16
SEP,10,19,50.42,4.38,NA,3.74,32,15
SEP,10,20,48.50,4.24,0.210,2.09,32,15
SEP,10,21,46.69,4.11,0.208,1.57,32,15
SEP,10,22,47.22,4.29,0.203,1.49,31,15
SEP,10,23,44.11,4.35,0.197,1.48,31,15
SEP,11,0,38.41,4.34,0.192,7.04,30,15
SEP,11,1,32.05,4.32,0.184,19.87,30,15
SEP,11,2,25.86,4.27,0.183,18.99,30,15
SEP,11,3,21.60,4.16,0.179,13.91,30,15
SEP,11,4,18.24,4.05,0.181,9.02,30,15
SEP,11,5,14.15,4.09,0.189,15.85,30,15
SEP,11,6,12.00,4.23,0.247,17.14,30,15
SEP,11,7,6.30,4.29,0.307,12.87,30,16
SEP,11,8,3.72,4.22,0.395,11.77,30,16
SEP,11,9,4.41,4.12,0.438,6.12,29,15
SEP,11,10,7.65,4.09,0.466,3.43,28,15
SEP,11,11,11.07,4.05,0.484,3.47,27,14
SEP,11,12,14.67,4.05,0.497,3.12,27,14
SEP,11,13,19.97,4.00,0.521,8.05,26,13
SEP,11,14,22.77,4.08,0.486,6.42,26,13
SEP,11,15,28.16,4.20,0.443,5.89,26,13
SEP,11,16,32.76,4.50,0.370,6.99,26,12
SEP,11,17,35.98,5.17,0.350,7.53,25,12
SEP,11,18,36.55,5.35,0.361,7.28,24,12
SEP,11,19,35.11,5.92,0.394,12.40,24,13
SEP,11,20,32.38,6.30,0.426,13.41,25,13
SEP,11,21,29.59,6.29,0.420,7.89,25,13
SEP,11,22,25.81,5.96,0.423,7.95,25,12
SEP,11,23,22.36,5.76,0.424,5.77,25,12
SEP,12,0,19.38,5.78,0.426,5.16,25,13
SEP,12,1,17.08,5.74,0.421,3.67,25,12
SEP,12,2,15.24,5.78,0.404,5.12,24,12
SEP,12,3,14.32,5.91,0.372,7.32,24,12
SEP,12,4,14.14,6.16,0.343,4.45,24,12
SEP,12,5,14.69,6.17,0.333,3.01,24,12
SEP,12,6,13.90,6.14,0.385,15.94,23,11
SEP,12,7,13.49,6.16,0.503,20.22,25,11
SEP,12,8,11.64,6.15,0.613,19.77,26,11
SEP,12,9,10.84,6.15,0.654,6.15,27,11
SEP,12,10,12.27,6.03,0.706,NA,28,11
SEP,12,11,14.59,5.88,NA,0.30,28,11
SEP,12,12,17.01,5.69,NA,NA,28,11
SEP,12,13,19.23,5.54,NA,3.74,28,11
SEP,12,14,24.21,5.41,NA,3.34,28,11
SEP,12,15,26.56,5.27,NA,2.34,28,11
SEP,12,16,31.05,5.05,NA,0.37,27,11
SEP,12,17,33.55,4.39,0.340,0.30,27,11
SEP,12,18,33.75,4.22,0.327,0.30,27,10
SEP,12,19,32.90,3.68,0.326,0.79,26,10
SEP,12,20,31.32,3.74,0.304,2.34,26,10
SEP,12,21,29.00,4.88,0.276,0.91,26,10
SEP,12,22,25.94,5.07,0.254,NA,27,10
SEP,12,23,22.83,5.07,0.239,NA,26,10
SEP,13,0,20.43,4.96,0.229,NA,26,10
SEP,13,1,18.62,5.28,0.218,NA,27,10
SEP,13,2,17.66,5.38,0.209,NA,27,10
SEP,13,3,17.01,5.30,0.195,NA,27,10
SEP,13,4,16.52,5.26,0.187,NA,27,10
SEP,13,5,16.13,5.38,0.189,NA,27,10
SEP,13,6,14.77,5.18,0.222,NA,27,10
SEP,13,7,12.70,5.00,0.287,NA,26,10
SEP,13,8,10.60,5.09,0.394,NA,26,9
SEP,13,9,9.88,5.12,0.458,NA,26,9
SEP,13,10,8.65,5.16,0.498,NA,26,9
SEP,13,11,8.99,5.22,0.528,NA,26,9
SEP,13,12,10.53,5.26,0.571,2.09,26,9
SEP,13,13,12.10,5.45,0.600,2.67,26,9
SEP,13,14,14.86,5.61,0.585,NA,26,9
SEP,13,15,18.47,5.72,0.540,1.16,26,9
SEP,13,16,22.23,5.90,0.437,2.41,27,8
