DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
OCTUBRE,5,13,NA,0.039,1.02,0.009,34,NA,24.55,2.41,130.70,49.61,623.60,2.90
OCTUBRE,5,14,NA,0.043,0.84,0.006,39,NA,25.79,2.44,138.36,44.26,622.62,3.16
OCTUBRE,5,15,NA,0.046,0.82,0.006,34,NA,27.27,2.20,170.20,38.28,621.73,2.34
OCTUBRE,5,16,NA,0.046,0.83,0.008,27,NA,27.41,2.35,121.58,35.55,621.21,1.11
OCTUBRE,5,17,NA,0.045,0.89,0.008,31,NA,26.23,2.32,143.50,38.09,621.23,NA
OCTUBRE,5,18,NA,0.039,0.90,0.009,30,NA,23.41,5.15,146.16,49.61,621.85,NA
OCTUBRE,5,19,NA,0.031,1.11,0.011,47,NA,21.29,3.68,115.79,54.99,622.62,NA
OCTUBRE,5,20,NA,0.034,0.89,0.008,29,NA,17.06,2.88,270.23,83.29,624.22,NA
OCTUBRE,5,21,NA,0.029,0.78,0.006,21,NA,15.33,3.53,283.70,94.92,624.94,NA
OCTUBRE,5,22,NA,0.028,0.77,0.006,11,NA,15.38,2.03,296.18,95.37,625.69,NA
OCTUBRE,5,23,NA,0.029,0.76,0.005,14,NA,15.42,1.70,197.97,95.36,625.87,NA
OCTUBRE,6,0,NA,0.027,0.75,0.006,14,NA,15.72,0.99,212.40,94.88,625.97,NA
OCTUBRE,6,1,NA,0.019,0.79,0.008,7,NA,15.64,1.26,170.68,94.93,625.74,NA
OCTUBRE,6,2,NA,0.021,0.74,0.006,6,NA,15.49,1.65,129.55,94.95,625.39,NA
OCTUBRE,6,3,NA,0.019,0.76,0.005,11,NA,15.30,1.56,210.81,95.09,625.18,NA
OCTUBRE,6,4,NA,0.018,0.77,0.007,14,NA,15.12,1.60,152.73,95.01,624.70,NA
OCTUBRE,6,5,NA,0.015,0.82,0.010,14,NA,15.02,1.58,100.10,94.50,624.39,NA
OCTUBRE,6,6,NA,0.007,1.15,0.014,21,NA,14.82,2.47,95.72,94.60,624.34,NA
OCTUBRE,6,7,NA,0.005,1.32,0.016,18,NA,14.56,2.79,104.15,94.49,624.67,NA
OCTUBRE,6,8,NA,0.008,1.32,0.015,31,NA,14.78,2.72,103.05,92.53,625.07,NA
OCTUBRE,6,9,NA,0.013,1.21,0.013,24,NA,16.55,2.26,99.58,85.21,625.61,NA
OCTUBRE,6,10,NA,0.023,1.03,0.008,27,NA,18.32,3.60,81.31,76.51,625.79,NA
OCTUBRE,6,11,NA,0.028,0.97,0.008,24,NA,19.88,4.05,82.55,70.98,625.54,NA
OCTUBRE,6,12,NA,0.031,1.04,0.009,24,NA,21.10,3.76,79.33,65.15,625.27,NA
OCTUBRE,6,13,NA,0.038,1.02,0.010,32,NA,22.72,2.98,86.58,57.45,624.53,0.45
OCTUBRE,6,14,NA,0.044,0.97,0.010,38,NA,24.16,2.55,91.82,51.19,623.62,NA
OCTUBRE,6,15,NA,0.041,0.91,0.008,37,NA,25.00,2.44,89.95,45.41,623.00,1.00
OCTUBRE,6,16,NA,0.040,0.87,0.010,29,NA,25.43,2.56,79.79,44.66,622.59,NA
OCTUBRE,6,17,NA,0.029,1.12,0.012,32,NA,22.75,3.17,64.86,60.18,622.74,NA
OCTUBRE,6,18,NA,0.023,1.17,0.013,33,NA,19.61,2.39,136.06,76.63,623.37,NA
OCTUBRE,6,19,NA,0.017,1.16,0.015,18,NA,18.61,3.25,75.00,79.90,623.39,NA
OCTUBRE,6,20,NA,0.012,1.24,0.018,21,NA,18.57,1.76,152.98,79.17,623.78,NA
OCTUBRE,6,21,NA,0.010,1.08,0.013,17,NA,18.42,1.79,95.78,79.68,624.64,NA
OCTUBRE,6,22,NA,0.016,1.02,0.009,23,NA,18.04,2.46,49.16,78.02,625.25,NA
OCTUBRE,6,23,NA,0.010,0.81,0.010,20,NA,17.25,2.53,83.43,82.10,625.54,NA
OCTUBRE,7,0,NA,0.011,0.74,0.009,19,NA,16.76,2.93,79.68,83.74,625.46,NA
OCTUBRE,7,1,NA,0.016,0.72,0.008,18,NA,17.49,3.30,65.01,77.45,625.49,NA
OCTUBRE,7,2,NA,0.019,0.76,0.006,18,NA,17.60,2.32,99.39,75.52,625.59,NA
OCTUBRE,7,3,NA,0.015,0.71,0.006,14,NA,17.03,1.96,276.20,79.83,625.65,NA
OCTUBRE,7,4,NA,0.021,0.70,0.004,16,NA,16.38,2.59,246.02,81.93,625.39,NA
OCTUBRE,7,5,NA,0.018,0.77,0.007,14,NA,16.54,2.15,97.08,80.81,625.13,NA
OCTUBRE,7,6,NA,0.009,1.09,0.011,12,NA,16.52,1.93,92.02,83.39,625.34,NA
