DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ENE,13,16,24.11,4.64,0.268,18
ENE,13,17,26.93,4.71,0.267,19
ENE,13,18,28.35,4.66,0.273,19
ENE,13,19,28.24,4.58,0.286,19
ENE,13,20,26.89,5.08,0.287,18
ENE,13,21,24.60,4.81,0.288,16
ENE,13,22,21.79,4.68,0.279,15
ENE,13,23,18.88,4.61,0.277,14
ENE,14,0,16.36,4.56,0.273,14
ENE,14,1,14.32,4.50,0.262,14
ENE,14,2,13.09,4.43,0.241,14
ENE,14,3,12.29,4.16,0.220,13
ENE,14,4,11.67,4.05,0.207,13
ENE,14,5,11.23,4.26,0.195,13
ENE,14,6,10.48,4.18,0.190,13
ENE,14,7,9.37,4.14,0.206,13
ENE,14,8,8.08,4.99,0.225,13
ENE,14,9,7.30,4.64,0.238,13
ENE,14,10,7.46,4.86,0.250,13
ENE,14,11,8.11,5.69,0.260,13
ENE,14,12,9.46,6.77,0.268,13
ENE,14,13,11.31,7.29,0.279,14
ENE,14,14,13.72,8.90,0.288,14
ENE,14,15,16.93,9.26,0.281,14
ENE,14,16,20.26,9.57,0.273,14
ENE,14,17,22.91,9.37,0.270,14
ENE,14,18,24.00,9.46,0.276,14
ENE,14,19,24.01,9.60,0.292,14
ENE,14,20,23.41,9.08,0.303,14
ENE,14,21,22.66,9.19,0.297,14
ENE,14,22,21.49,9.34,0.291,15
ENE,14,23,19.56,9.57,0.281,15
ENE,15,0,17.50,9.50,0.272,15
ENE,15,1,15.42,9.79,0.263,15
ENE,15,2,13.72,10.38,0.247,16
ENE,15,3,12.85,11.39,0.222,16
ENE,15,4,12.38,11.48,0.202,16
ENE,15,5,11.41,11.43,0.200,16
ENE,15,6,10.39,11.51,0.195,16
ENE,15,7,10.23,11.49,0.197,16
ENE,15,8,9.67,10.60,0.219,15
ENE,15,9,9.13,10.89,0.230,15
ENE,15,10,9.21,10.60,0.245,16
ENE,15,11,9.87,10.15,0.255,16
ENE,15,12,10.89,9.40,0.257,15
ENE,15,13,12.85,8.84,0.255,15
ENE,15,14,16.17,7.16,0.257,15
ENE,15,15,19.49,6.40,0.252,15
ENE,15,16,23.09,6.06,0.231,15
ENE,15,17,26.42,5.91,0.231,15
ENE,15,18,28.91,5.85,0.240,15
ENE,15,19,30.21,5.75,0.281,15
ENE,15,20,29.21,5.72,0.363,15
ENE,15,21,29.93,5.74,0.473,16
ENE,15,22,29.40,5.72,0.574,17
ENE,15,23,NA,5.39,0.676,19
ENE,16,0,NA,5.43,0.721,21
ENE,16,1,NA,5.03,0.762,21
ENE,16,2,NA,4.38,0.780,23
ENE,16,3,NA,3.20,0.751,24
ENE,16,4,NA,2.93,0.672,25
ENE,16,5,NA,2.68,0.565,25
ENE,16,6,NA,2.55,0.468,26
ENE,16,7,NA,2.57,0.389,26
ENE,16,8,NA,2.62,0.380,26
ENE,16,9,NA,2.59,0.362,27
ENE,16,10,NA,2.81,0.352,27
ENE,16,11,NA,2.81,0.344,27
ENE,16,12,NA,2.84,0.355,26
ENE,16,13,NA,3.05,0.375,26
ENE,16,14,18.89,3.15,0.390,26
ENE,16,15,22.09,3.19,0.388,26
ENE,16,16,24.89,3.22,0.364,27
ENE,16,17,30.07,3.22,0.347,26
ENE,16,18,34.06,3.19,0.354,26
ENE,16,19,35.65,3.16,0.403,26
ENE,16,20,33.60,3.13,0.569,27
ENE,16,21,30.23,3.20,0.741,28
ENE,16,22,26.76,3.25,0.751,28
ENE,16,23,23.28,3.30,0.772,27
ENE,17,0,18.56,3.35,0.772,27
ENE,17,1,14.83,3.31,0.754,26
ENE,17,2,11.67,3.17,0.715,24
ENE,17,3,9.33,3.12,0.651,23
ENE,17,4,9.72,3.09,0.467,22
ENE,17,5,10.30,3.07,0.272,22
ENE,17,6,9.89,3.09,0.242,22
ENE,17,7,8.59,3.04,0.230,22
ENE,17,8,8.85,3.05,0.266,23
ENE,17,9,7.11,3.20,0.308,23
ENE,17,10,6.56,3.06,0.337,23
ENE,17,11,7.85,3.01,0.350,23
ENE,17,12,10.37,2.98,0.360,23
ENE,17,13,14.49,2.80,0.366,23
ENE,17,14,19.63,2.77,0.371,23
ENE,17,15,25.27,2.80,0.342,22
ENE,17,16,27.31,2.84,0.289,22
ENE,17,17,32.87,2.85,0.246,22
ENE,17,18,37.55,2.87,0.220,22
ENE,17,19,39.64,2.94,0.236,22
ENE,17,20,39.53,2.89,0.263,22
ENE,17,21,39.04,2.67,0.273,21
ENE,17,22,37.41,2.51,0.274,21
ENE,17,23,35.47,2.74,0.279,21
ENE,18,0,33.33,2.95,0.279,20
ENE,18,1,30.26,2.96,0.281,20
ENE,18,2,26.92,NA,0.278,20
ENE,18,3,25.14,NA,0.250,20
ENE,18,4,24.39,NA,0.212,20
ENE,18,5,21.23,NA,0.197,21
ENE,18,6,20.16,NA,0.194,21
ENE,18,7,19.02,NA,0.211,21
ENE,18,8,15.27,NA,0.247,21
ENE,18,9,11.95,NA,0.277,21
ENE,18,10,9.70,NA,0.298,21
ENE,18,11,8.83,NA,0.311,21
ENE,18,12,9.70,NA,0.327,21
ENE,18,13,14.37,NA,0.339,22
ENE,18,14,17.64,NA,0.344,21
ENE,18,15,19.92,NA,0.322,21
ENE,18,16,24.61,NA,0.288,21
ENE,18,17,28.45,NA,0.270,22
ENE,18,18,30.85,NA,0.262,22
ENE,18,19,30.97,NA,0.288,21
ENE,18,20,29.25,NA,0.324,21
ENE,18,21,26.35,NA,0.347,20
ENE,18,22,22.49,NA,0.403,20
ENE,18,23,18.49,NA,0.460,21
ENE,19,0,15.67,NA,0.465,22
ENE,19,1,13.50,NA,0.461,22
ENE,19,2,10.79,NA,0.463,23
ENE,19,3,9.10,NA,0.440,23
ENE,19,4,8.79,NA,0.415,24
ENE,19,5,8.42,NA,0.409,24
ENE,19,6,NA,3.36,0.386,25
ENE,19,7,NA,3.53,0.389,26
ENE,19,8,NA,3.73,0.463,27
ENE,19,9,NA,4.04,0.533,28
ENE,19,10,NA,4.30,0.553,29
ENE,19,11,NA,4.34,0.565,29
ENE,19,12,NA,4.35,0.563,30
ENE,19,13,NA,4.42,0.544,29
ENE,19,14,NA,4.45,0.509,29
ENE,19,15,31.65,4.49,0.455,29
ENE,19,16,33.57,4.49,0.383,29
ENE,19,17,35.10,4.50,0.307,28
ENE,19,18,39.34,4.50,0.273,28
ENE,19,19,40.50,4.49,0.263,28
ENE,19,20,37.50,4.51,0.327,28
ENE,19,21,32.75,4.62,0.483,29
ENE,19,22,28.31,4.81,0.603,30
ENE,19,23,23.90,4.93,0.615,30
ENE,20,0,19.11,5.06,0.618,30
ENE,20,1,15.56,5.12,0.623,30
ENE,20,2,12.98,5.09,0.620,30
ENE,20,3,11.33,5.08,0.603,30
ENE,20,4,12.35,4.93,0.514,29
ENE,20,5,14.78,4.74,0.347,28
ENE,20,6,17.16,4.54,0.220,27
ENE,20,7,19.04,4.32,0.202,26
