DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ABR,25,10,7.17,2.64,0.599,39
ABR,25,11,7.47,2.83,0.658,41
ABR,25,12,10.33,2.86,0.668,42
ABR,25,13,14.70,2.82,0.649,41
ABR,25,14,19.31,2.81,0.618,41
ABR,25,15,24.77,2.81,0.567,41
ABR,25,16,30.70,2.91,0.451,40
ABR,25,17,35.98,2.99,0.375,40
ABR,25,18,40.35,3.23,0.317,39
ABR,25,19,42.80,3.93,0.250,39
ABR,25,20,41.95,4.19,0.247,39
ABR,25,21,37.39,4.36,0.330,40
ABR,25,22,37.10,4.60,0.431,43
ABR,25,23,35.68,4.93,0.515,45
ABR,26,0,27.77,5.32,0.547,48
ABR,26,1,22.36,5.45,0.552,48
ABR,26,2,16.79,5.92,0.551,49
ABR,26,3,11.39,6.96,0.547,49
ABR,26,4,7.61,7.18,0.525,50
ABR,26,5,8.88,7.30,0.444,49
ABR,26,6,8.11,7.41,0.364,52
ABR,26,7,7.34,7.64,0.319,53
ABR,26,8,9.12,8.23,0.306,52
ABR,26,9,10.80,8.63,0.317,50
ABR,26,10,13.08,8.70,0.333,49
ABR,26,11,16.31,9.47,0.352,47
ABR,26,12,21.26,9.60,0.365,47
ABR,26,13,26.36,9.90,0.364,48
ABR,26,14,33.04,9.89,0.340,48
ABR,26,15,40.35,9.95,0.303,49
ABR,26,16,46.12,9.88,0.284,49
ABR,26,17,50.82,10.11,0.268,50
ABR,26,18,54.43,10.95,0.252,50
ABR,26,19,56.24,11.64,0.256,51
ABR,26,20,55.32,11.54,0.260,52
ABR,26,21,52.90,12.30,0.256,51
ABR,26,22,49.37,13.05,0.252,48
ABR,26,23,44.29,16.94,0.248,46
ABR,27,0,39.70,18.60,0.272,45
ABR,27,1,35.55,18.73,0.272,44
ABR,27,2,31.61,18.60,0.268,44
