DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JUN,15,2,NA,0.021,0.003,1.38,18.9,0.016
JUN,15,3,NA,0.019,0.003,1.36,19.6,0.010
JUN,15,4,0.006,0.015,0.003,1.32,18.1,0.011
JUN,15,5,0.009,0.013,0.003,1.25,16.1,0.010
JUN,15,6,0.006,0.011,0.003,1.25,16.9,0.014
JUN,15,7,0.012,0.010,0.003,1.25,17.5,0.010
JUN,15,8,0.011,0.010,0.003,1.27,17.9,0.013
JUN,15,9,0.013,0.010,0.003,1.29,25.2,0.010
JUN,15,10,0.019,0.011,0.003,1.30,25.9,0.008
JUN,15,11,0.024,0.013,0.003,1.30,25.1,0.007
JUN,15,12,0.027,0.015,0.003,1.31,32.8,0.007
JUN,15,13,0.031,0.018,0.003,1.32,32.8,0.007
JUN,15,14,0.034,0.021,0.003,1.31,31.3,0.009
JUN,15,15,0.034,0.024,0.003,1.30,29.2,0.011
JUN,15,16,0.038,0.028,0.003,1.28,27.9,0.009
JUN,15,17,0.033,0.030,0.003,1.26,31.2,0.014
JUN,15,18,0.033,0.032,0.003,1.26,36.6,0.011
JUN,15,19,0.027,0.032,0.003,1.26,36.9,0.008
JUN,15,20,0.020,0.031,0.003,1.26,36.8,0.007
JUN,15,21,0.018,0.030,0.003,1.25,40.1,0.007
JUN,15,22,0.017,0.028,0.003,1.25,35.7,0.007
JUN,15,23,0.018,0.026,0.003,1.23,29.1,0.004
JUN,16,0,0.018,0.023,0.003,1.22,24.4,0.004
JUN,16,1,0.018,0.021,0.003,1.21,22.7,0.004
JUN,16,2,0.018,0.019,0.003,1.19,20.4,0.004
JUN,16,3,0.013,0.018,0.003,1.18,25.9,0.011
JUN,16,4,0.014,0.017,0.003,1.16,36.2,0.008
JUN,16,5,0.013,0.016,0.003,1.15,38.1,0.009
JUN,16,6,0.016,0.016,0.003,1.15,41.2,0.006
JUN,16,7,0.015,0.016,0.003,1.16,43.3,0.008
JUN,16,8,0.015,0.015,0.003,1.17,49.0,0.009
JUN,16,9,0.019,0.015,0.003,1.18,63.1,0.008
JUN,16,10,0.023,0.016,0.003,1.19,72.4,0.009
JUN,16,11,0.029,0.018,0.003,1.21,75.3,0.008
JUN,16,12,0.036,0.021,0.003,1.22,80.7,0.008
JUN,16,13,0.039,0.024,0.003,1.24,80.9,0.010
JUN,16,14,0.040,0.027,0.003,1.24,77.3,0.011
JUN,16,15,0.042,0.030,0.003,1.24,69.6,0.010
JUN,16,16,0.042,0.034,0.003,1.24,58.0,0.011
JUN,16,17,0.040,0.036,0.003,1.25,54.5,0.010
JUN,16,18,0.039,0.039,0.003,1.25,48.2,0.006
JUN,16,19,0.032,0.039,0.003,1.26,41.1,0.007
JUN,16,20,0.033,0.038,0.003,1.26,37.0,0.007
JUN,16,21,0.034,0.038,0.003,1.26,29.7,0.010
JUN,16,22,0.031,0.037,0.003,1.26,24.4,0.008
JUN,16,23,0.026,0.035,0.003,1.26,25.1,0.007
JUN,17,0,0.029,0.033,0.003,1.25,27.8,0.004
JUN,17,1,0.031,0.032,0.004,1.23,34.1,0.003
JUN,17,2,0.030,0.031,0.004,1.22,31.7,0.004
JUN,17,3,0.028,0.030,0.004,1.20,30.0,0.005
JUN,17,4,0.024,0.029,0.004,1.19,28.7,0.008
JUN,17,5,0.025,0.028,0.004,1.17,27.2,0.007
JUN,17,6,0.023,0.027,0.004,1.17,26.7,0.008
JUN,17,7,0.020,0.026,0.004,1.19,28.0,0.011
JUN,17,8,0.022,0.025,0.004,1.21,33.9,0.011
JUN,17,9,0.027,0.025,0.004,1.22,45.7,0.008
JUN,17,10,0.032,0.025,0.003,1.24,44.1,0.008
JUN,17,11,0.040,0.027,0.003,1.26,45.1,0.007
JUN,17,12,0.049,0.030,0.003,1.27,60.0,0.007
JUN,17,13,0.052,0.033,0.003,1.29,75.3,0.007
JUN,17,14,0.056,0.037,0.003,1.29,67.9,0.006
JUN,17,15,0.058,0.042,0.003,1.27,54.2,0.006
JUN,17,16,0.058,0.047,0.003,1.26,43.4,0.006
JUN,17,17,0.058,0.050,0.003,1.25,31.4,0.006
JUN,17,18,0.043,0.052,0.003,1.29,33.1,0.010
