DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,13,14,0.0377,0.0169,0.0218,33,31,0.0072
ENE,13,15,0.0403,0.0216,0.0220,31,27,0.0061
ENE,13,16,0.0402,0.0262,0.0220,27,24,0.0064
ENE,13,17,0.0401,0.0306,0.0221,29,19,0.0057
ENE,13,18,0.041,0.0346,0.0221,35,18,0.0067
ENE,13,19,0.0282,0.0358,0.0221,44,17,0.011
ENE,13,20,0.019,0.0348,0.0220,53,16,0.0162
ENE,13,21,0.0104,0.0321,0.0220,63,16,0.0218
ENE,13,22,0.005,0.0280,0.0219,67,16,0.0261
ENE,13,23,0.0104,0.0243,0.0221,80,15,0.0193
ENE,14,0,0.0149,0.0211,0.0221,71,16,0.0132
ENE,14,1,0.0144,0.0179,0.0224,57,18,0.0113
ENE,14,2,0.014,0.0145,0.0229,49,16,0.0116
ENE,14,3,0.0134,0.0127,0.0232,38,18,0.0112
ENE,14,4,0.011,0.0117,0.0236,37,19,0.0142
ENE,14,5,0.0084,0.0114,0.0237,38,15,0.0162
ENE,14,6,0.0071,0.0117,0.0239,40,15,0.0188
ENE,14,7,0.0075,0.0113,0.0239,41,18,0.0208
ENE,14,8,0.006,0.0102,0.0215,63,19,0.0227
ENE,14,9,0.005,0.0091,0.0211,92,23,0.0228
ENE,14,10,0.0059,0.0080,0.0204,87,26,0.0204
ENE,14,11,0.0112,0.0078,0.0202,82,25,0.0192
ENE,14,12,0.0175,0.0086,0.0208,78,31,0.0192
ENE,14,13,0.0254,0.0107,0.0207,73,33,0.0135
ENE,14,14,0.0317,0.0138,0.0208,65,28,0.0092
ENE,14,15,0.0307,0.0167,0.0208,66,25,0.0133
ENE,14,16,0.0335,0.0201,0.0209,66,27,0.0128
ENE,14,17,0.0339,0.0237,0.0210,64,27,0.0117
ENE,14,18,0.032,0.0270,0.0211,57,24,0.0102
ENE,14,19,0.0122,0.0271,0.0212,63,22,0.0256
ENE,14,20,0.0043,0.0255,0.0213,92,22,0.0347
ENE,14,21,0.0037,0.0228,0.0215,123,30,0.0322
ENE,14,22,0.0042,0.0193,0.0216,136,35,0.029
ENE,14,23,0.0031,0.0159,0.0216,148,53,0.0291
ENE,15,0,0.0031,0.0121,0.0220,131,52,0.0277
ENE,15,1,0.0031,0.0082,0.0221,132,54,0.0273
ENE,15,2,0.0016,0.0044,0.0217,127,58,0.0223
ENE,15,3,0.0014,0.0031,0.0216,106,49,0.0229
ENE,15,4,0.002,0.0028,0.0212,87,42,0.0231
ENE,15,5,0.0026,0.0026,0.0209,73,29,0.0237
ENE,15,6,0.0025,0.0024,0.0207,68,26,0.0227
ENE,15,7,0.0029,0.0024,0.0204,67,24,0.0218
ENE,15,8,0.0029,0.0024,0.0202,90,24,0.0212
ENE,15,9,0.0032,0.0024,0.0200,116,34,0.0271
ENE,15,10,0.0069,0.0031,0.0205,134,41,0.0262
ENE,15,11,0.0163,0.0049,0.0206,114,47,0.0233
ENE,15,12,0.0301,0.0084,0.0199,93,48,0.0162
ENE,15,13,0.0415,0.0133,0.0198,70,42,0.0095
ENE,15,14,0.045,0.0186,0.0197,54,35,0.0085
ENE,15,15,0.0498,0.0245,0.0197,35,28,0.006
ENE,15,16,0.0513,0.0305,0.0196,30,23,0.0057
ENE,15,17,0.0531,0.0368,0.0196,31,19,0.006
ENE,15,18,0.0485,0.0420,0.0196,39,20,0.0074
ENE,15,19,0.0266,0.0432,0.0196,55,19,0.0216
ENE,15,20,0.0046,0.0401,0.0195,92,21,0.0413
ENE,15,21,0.0115,0.0363,0.0196,181,35,0.0402
ENE,15,22,0.0173,0.0328,0.0195,263,79,0.039
ENE,15,23,0.0059,0.0274,0.0194,240,93,0.0366
ENE,16,0,0.0024,0.0212,0.0192,195,75,0.0347
ENE,16,1,0.0044,0.0152,0.0193,158,63,0.0316
ENE,16,2,0.0025,0.0094,0.0196,133,56,0.0301
ENE,16,3,0.0113,0.0075,0.0206,109,49,0.0227
ENE,16,4,0.0125,0.0085,0.0213,107,49,0.0182
ENE,16,5,0.0053,0.0077,0.0215,92,42,0.0199
ENE,16,6,0.0036,0.0060,0.0215,74,32,0.0203
ENE,16,7,0.0032,0.0057,0.0215,67,21,0.0203
ENE,16,8,0.0057,0.0061,0.0218,73,18,0.022
ENE,16,9,0.0077,0.0065,0.0228,90,27,0.0227
ENE,16,10,0.012,0.0077,0.0230,96,39,0.0191
ENE,16,11,0.0228,0.0091,0.0228,79,39,0.0142
ENE,16,12,0.0307,0.0114,0.0229,58,30,0.0134
ENE,16,13,0.0451,0.0164,0.0228,52,29,0.0115
ENE,16,14,0.0519,0.0224,0.0225,49,32,0.009
ENE,16,15,0.0529,0.0286,0.0224,36,28,0.0069
ENE,16,16,0.0512,0.0343,0.0223,24,22,0.0059
ENE,16,17,0.0515,0.0398,0.0222,32,20,0.0057
ENE,16,18,0.0407,0.0434,0.0221,44,19,0.0083
ENE,16,19,0.024,0.0435,0.0220,51,16,0.0217
ENE,16,20,0.0107,0.0410,0.0219,71,19,0.031
ENE,16,21,0.0092,0.0365,0.0217,78,20,0.022
ENE,16,22,0.0173,0.0322,0.0216,76,23,0.0139
ENE,16,23,0.0195,0.0280,0.0215,63,21,0.0101
ENE,17,0,0.0194,0.0240,0.0213,56,19,0.0088
ENE,17,1,0.0168,0.0197,0.0207,56,24,0.0083
ENE,17,2,0.0121,0.0161,0.0203,46,20,0.0116
ENE,17,3,0.0198,0.0156,0.0191,36,19,0.0056
ENE,17,4,0.0152,0.0162,0.0182,28,17,0.0083
ENE,17,5,0.0149,0.0169,0.0180,25,15,0.0087
ENE,17,6,0.015,0.0166,0.0179,25,14,0.0088
