DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
OCT,6,8,0.8,2.74,0.29,8.13,60.96,15.85,2.67,78.95,15.27,81.09,623.28,15.85
OCT,6,9,3.06,2.34,0.4,6.03,58.76,12,2.75,90.07,17.38,73.99,623.53,12
OCT,6,10,13.87,2.2,0.24,2.83,57.14,16.74,3.32,91,19.29,65.17,623.71,16.74
OCT,6,11,20.9,2.2,0.26,3.59,44.95,16.96,3.16,96.7,21.11,58.35,623.48,16.96
OCT,6,12,28.4,2.82,0.21,3.04,41.14,19.58,2.61,93.28,22.94,52.12,623.25,19.58
OCT,6,13,33.01,6.42,0.14,2.21,46.47,13.08,2.19,84.72,24.24,47.41,622.64,13.08
OCT,6,14,38.08,26.11,0.15,3.99,32.17,16.2,2.01,95.21,25.27,42.99,621.63,16.2
OCT,6,15,48.87,66.58,0.18,8.07,56.9,26.41,1.77,250.43,26.09,39.66,620.76,26.41
OCT,6,16,46.65,44.89,0.24,7.4,51.88,42.62,1.91,118.76,26.76,36.4,620.27,42.62
OCT,6,17,36.32,26.08,0.29,10.13,63.21,24.74,2.51,192.48,24.59,41.89,620.18,24.74
OCT,6,18,31.02,3.92,0.14,4.95,47.72,20.6,3.06,254.98,21.96,51.18,620.72,20.6
OCT,6,19,27.5,3.68,0.16,8.13,39.1,11.87,1.81,269.44,20.26,55.97,621.26,11.87
OCT,6,20,19.66,6.32,0.29,14.65,28.8,18.02,1.95,165.12,19.14,63.25,622.12,18.02
OCT,6,21,18.83,3.82,0.27,11.92,54.05,15.41,2.09,114.3,16.75,80.8,623.15,15.41
OCT,6,22,15,29.39,0.38,15.43,38.13,13.35,2.09,296.17,15.69,92.47,623.73,13.35
OCT,6,23,18.77,16.71,0.2,9.83,30.04,33.55,2.37,280.62,14.99,95.09,623.89,33.55
OCT,7,0,23.8,9.45,0.12,5.6,12.23,20.62,1.57,297.65,14.72,95.26,623.82,20.62
OCT,7,1,23.53,5.78,0.07,3.81,16.09,13.95,1.28,141.59,14.76,94.59,623.49,13.95
OCT,7,2,15.45,4.4,0.09,7.09,13.81,12.91,1.4,249.42,14.79,93.66,623.19,12.91
OCT,7,3,13.32,4.17,0.08,5.32,21.83,16.99,1.19,235.74,14.52,94.78,622.75,16.99
OCT,7,4,18.35,4.28,0.1,7.63,19.64,22.54,0.69,143.31,14.47,95.05,622.29,22.54
OCT,7,5,10.33,3.55,0.11,10.27,28.81,21.41,1.47,183.18,14.07,95.6,622.17,21.41
OCT,7,6,13.25,3.44,0.12,10.32,30.28,16.76,1.13,195.65,13.89,96.43,622.15,16.76
OCT,7,7,7.26,3.07,0.18,11.77,40.35,26.06,0.96,267.83,13.84,96.32,622.38,26.06
OCT,7,8,7.5,3.13,0.4,12.77,25.55,30.12,1,132.64,14.06,96.44,622.64,30.12
OCT,7,9,9.2,3.65,0.49,13.31,49.31,37.41,1.39,111.9,14.99,95.31,623.08,37.41
OCT,7,10,17.6,4.44,0.4,15.15,63,49.5,1.7,179.02,17.76,82.51,623.33,49.5
OCT,7,11,31.72,4.33,0.23,8.15,35.15,36.17,1.71,236.97,19.57,69.95,623.39,36.17
OCT,7,12,36.05,3.68,0.15,4.6,42.81,34.69,2.29,266.92,20.43,67.36,623.12,34.69
OCT,7,13,38.09,2.82,0.08,1.84,22.48,32.51,2.52,279.87,22.26,60.09,622.53,32.51
OCT,7,14,38.31,2.58,0.07,1.27,16.3,25.25,2.42,288.35,23.19,53.43,621.85,25.25
OCT,7,15,38.67,2.4,0.01,0.4,9.18,13.12,2.32,282.29,23.84,47.05,620.95,13.12
OCT,7,16,41.11,2.44,0.03,0.4,5.45,7.36,2.2,266.92,24.79,42.76,620.25,7.36
OCT,7,17,42.06,2.68,0.07,1.78,18.22,3.82,2.31,285.71,23.29,49.04,619.86,3.82
OCT,7,18,33.03,2.54,0.13,4.75,23.37,5.26,1.79,251.72,22.66,52.32,620.01,5.26
OCT,7,19,24.67,2.45,0.21,8.07,28.42,6.28,3.37,237.71,20.59,64.69,620.46,6.28
OCT,7,20,20.24,2.38,0.08,4.42,23.36,7.05,3.19,266.23,18.56,76.61,621.31,7.05
OCT,7,21,24.01,2.42,0.06,3.51,12.64,2.38,2.13,284.79,17.39,77.91,622.12,2.38
OCT,7,22,21.63,2.52,0.18,10.18,9.08,NA,1.59,165.9,16.9,74.5,622.35,NA
OCT,7,23,15.1,2.73,0.11,10.24,26.92,2.58,1.86,187.86,16.71,82.08,622.52,2.58
OCT,8,0,17.1,2.47,0.07,6.18,12.63,9.38,1.02,298.45,16.37,82.48,622.45,9.38
OCT,8,1,6.57,NA,0.13,14.25,13.52,10.24,1.64,69.32,16.17,86.19,622.3,10.24
OCT,8,2,0.8,16.82,0.09,17.49,30.56,17.2,1.5,94.98,15.43,88.84,622.12,17.2
OCT,8,3,1.39,5.4,0.04,11.68,15.4,9.28,1.07,99.98,15.18,90.23,621.92,9.28
OCT,8,4,3.47,4.69,0.07,9.89,14.53,11.61,1.45,165.93,15.33,89.36,621.53,11.61
OCT,8,5,3.82,4.95,0.1,10.84,21.3,11.06,1.06,210.31,15.2,89.57,621.53,11.06
OCT,8,6,1.64,4.1,0.19,11.03,25.45,10.1,1.35,229.28,15.04,89.96,621.73,10.1
OCT,8,7,1.34,3.2,0.3,11.58,25.09,9.38,1.42,230.85,14.92,89.04,621.85,9.38
OCT,8,8,5.15,2.99,0.32,7.56,24.05,5.85,2.09,249.12,15.57,86.79,622.01,5.85
OCT,8,9,13.86,2.82,0.17,3.13,19.19,8.28,1.87,250.34,17.64,78.67,622.22,8.28
OCT,8,10,21.78,2.71,0.07,1.72,14.37,9.71,1.58,277.21,18.51,73.1,622.47,9.71
OCT,8,11,27.63,2.49,0.14,2.18,9,NA,1.85,228.62,21.14,59.75,622.39,NA
OCT,8,12,30.96,2.38,0.14,1.8,15.67,9.87,2.15,257.28,21.78,55.4,622.06,9.87
OCT,8,13,33.11,2.49,0.12,1.86,8.29,NA,2.16,221.44,23.45,49.01,621.26,NA
OCT,8,14,34.54,2.43,0.05,0.92,10.05,8.66,2.61,259.99,24.52,44.12,620.34,8.66
OCT,8,15,35.68,2.2,0.06,0.71,9.6,8.01,2.68,259.33,25.35,40.33,619.61,8.01
OCT,8,16,35.36,2.27,0.03,0.4,8.94,NA,2.63,269.4,26.05,36.88,619,NA
OCT,8,17,36.74,2.23,0.04,0.4,12.34,2.08,3.08,276.62,25.82,37.2,618.65,2.08
OCT,8,18,36.25,2.28,0.07,1.32,18.14,2.89,2.72,270.51,24.94,38.31,618.72,2.89
OCT,8,19,23.4,2.37,0.25,13.22,29.06,4.84,2.22,257.22,22.97,47.12,619.17,4.84
OCT,8,20,21.1,2.38,0.2,6.97,36.22,7.12,4.04,221.64,20.27,61.25,619.73,7.12
OCT,8,21,17.58,2.4,0.13,5.53,27.13,9.92,3.35,227.52,18.88,68.55,620.32,9.92
OCT,8,22,18.87,2.28,0.06,3.03,15.57,6.59,3.17,237.64,17.83,73.16,620.64,6.59
OCT,8,23,17.94,2.26,0.04,2.76,18.27,5.02,2.02,233.8,17.26,75.5,620.97,5.02
OCT,9,0,13.92,2.6,0.04,6.41,13.9,5.75,1.38,153.01,17.11,76.33,621.31,5.75
OCT,9,1,11.79,2.46,0.04,7.04,19.31,6.64,1.2,89.37,16.88,77.33,621.18,6.64
OCT,9,2,5.67,2.32,0.02,10.68,18.88,9.97,1.02,261.8,15.9,81.9,620.93,9.97
OCT,9,3,0.8,2.31,0.01,16.2,13.41,11.17,1.13,245.95,15.52,82.93,620.69,11.17
OCT,9,4,4.31,2.26,0.01,7.64,16.5,8.26,1.99,242.68,14.91,85.41,620.6,8.26
OCT,9,5,6.09,2.3,0.01,4.55,11.55,5.35,1.96,239.86,14.78,86.32,620.78,5.35
OCT,9,6,3.84,2.3,0.06,7.23,11.81,3.46,2.14,268.85,14.81,86.47,620.98,3.46
OCT,9,7,5.63,2.4,0.23,9.93,21.65,3.1,1.72,254.47,14.68,87.82,621.13,3.1
OCT,9,8,5.86,2.49,0.33,10.63,33.89,4.96,1.81,224.7,15.24,86.28,621.43,4.96
OCT,9,9,15.16,2.6,0.24,4.51,28.61,9.1,2.13,238.5,17.07,79.67,621.69,9.1
OCT,9,10,25.7,2.52,0.06,0.66,15.44,12.21,2.34,270.01,19.53,68.36,621.69,12.21
OCT,9,11,33.3,2.36,0.06,0.88,16.18,13.45,2.83,276.38,21.31,60.89,621.59,13.45
OCT,9,12,39.16,2.38,0.08,0.88,18.82,11.13,3.55,266.29,22.78,50.94,621.18,11.13
OCT,9,13,38.63,2.32,0.06,1.01,18.13,7.16,3.54,271.03,23.26,47.67,620.61,7.16
OCT,9,14,39.67,2.3,0.07,0.68,13.54,6.29,3.03,269.57,24.2,45.78,619.98,6.29
OCT,9,15,40.29,2.34,0.07,1.05,15.52,4.01,3.04,255.69,25.67,40.61,619.48,4.01
OCT,9,16,39.4,2.28,0.04,0.4,13.69,4.55,2.87,252.55,25.58,38.46,619.09,4.55
OCT,9,17,38.61,2.25,0.07,1.83,20.58,5.7,3.14,250.03,25.56,38.65,618.88,5.7
OCT,9,18,36.67,2.2,0.07,2.93,21.62,5.74,3.43,262.15,25.3,38.69,618.82,5.74
OCT,9,19,22.94,2.2,0.2,13.39,26.63,6.17,2.39,259.88,22.93,47.72,619.24,6.17
OCT,9,20,15.22,2.3,0.34,17.82,42.98,5.93,2.39,237.5,20.85,52.54,619.91,5.93
OCT,9,21,14.43,2.2,0.14,15.97,37.29,9.5,2.28,270.34,19.18,57.87,620.53,9.5
OCT,9,22,6.92,2.49,0.16,22.14,31.33,11.46,1.41,273.6,17.9,62.87,621.14,11.46
OCT,9,23,13.38,2.62,0.14,18.53,35.23,12.63,1.89,248.48,17.38,61.77,621.5,12.63
OCT,10,0,26.93,2.3,0.03,9.92,27.27,12.52,2.12,239.78,17.18,61.07,621.72,12.52
OCT,10,1,33.09,2.23,0.01,6.55,31.48,10.94,1.78,250.47,16.42,63.56,621.76,10.94
OCT,10,2,25.42,2.21,0.01,10.26,21.46,11.79,1.52,283.76,15.54,68.84,621.66,11.79
OCT,10,3,24.01,2.27,0.04,9.73,21.1,10.66,1.36,284.73,14.87,73.3,621.64,10.66
OCT,10,4,4.82,2.56,0.08,25.32,24.56,18.68,1.44,282,14.2,77.43,621.55,18.68
OCT,10,5,1.12,3.69,0.11,25.62,32.79,10.94,1.14,254.63,13.51,79.58,621.73,10.94
