DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,6,16,26.71,2.53,0.05,0.52,19.13,NA,2.67,287.28,25.05,18.56,620.24,NA
MZO,6,17,22.54,2.42,0.01,0.4,2.24,NA,2.87,286.68,29.45,16.38,619.9,NA
MZO,6,18,16.95,2.2,0.01,0.4,14.51,NA,3.01,276.14,28.73,18.65,619.91,NA
MZO,6,19,15.68,2.2,0.06,1.8,42.45,21.73,1.89,273.75,27.25,20.77,620.11,21.73
MZO,6,20,4.94,2.52,0.47,29.02,57.85,19.32,1.28,256.7,25.8,23.28,620.54,19.32
MZO,6,21,6.07,2.49,0.52,26.5,54.47,25.75,3.18,215.98,23.89,23.82,621.15,25.75
MZO,6,22,10.15,2.25,0.14,6.02,33.24,26.24,2.59,215.35,20.81,26.72,621.79,26.24
MZO,6,23,7.69,2.37,0.09,7.21,21.7,NA,2.2,306.82,20.65,33.77,622.21,NA
MZO,7,0,5.92,5.41,0.13,12.62,29.38,22.39,2.16,90.11,20.76,34.81,622.86,22.39
MZO,7,1,5.53,3.3,0.1,6.31,13.82,NA,3.81,116.18,20.76,48.97,623.13,NA
MZO,7,2,5.31,3.17,0.08,5.14,25.9,NA,3.15,103.49,19.78,55.71,623.02,NA
MZO,7,3,4.92,3.19,0.12,6.81,22.26,NA,3.48,110.3,18.62,60.86,622.62,NA
MZO,7,4,4.92,3.18,0.11,5.55,20.92,NA,2.14,136.87,17.78,64.31,622.64,NA
MZO,7,5,3.41,3.42,0.11,8.33,21.87,NA,2.24,107.1,17.08,67.71,622.81,NA
MZO,7,6,2.49,3.42,0.12,10.38,22.87,NA,2.4,90.02,15.27,69.65,623.11,NA
MZO,7,7,0.8,3.45,0.28,16.16,27.47,24.96,2.65,99.84,14.29,70.94,623.56,24.96
MZO,7,8,0.8,3.67,0.53,15.57,22.74,NA,2.66,93.91,13.97,71.28,624.1,NA
MZO,7,9,1.46,4.4,0.55,13.03,26.14,NA,3.41,82.32,17.44,64.95,624.36,NA
MZO,7,10,5.02,3.53,0.43,9.93,27.47,NA,4.91,82.89,19.55,55.91,624.47,NA
MZO,7,11,7.13,3.41,0.36,7.94,34.07,26.37,5.08,86.53,21.3,49.96,624.52,26.37
MZO,7,12,11.36,3.52,0.39,8.35,42.02,25.06,4.82,103.87,23.05,42.37,624.36,25.06
MZO,7,13,12.32,3.43,0.4,6.83,33.83,36.83,4.22,104.69,24.48,36.27,623.71,36.83
MZO,7,14,13.41,3.45,0.39,6.67,25.8,NA,3.65,118.59,25.96,32.38,622.91,NA
MZO,7,15,14.83,4.19,0.35,7.12,22.28,NA,2.72,114.02,27.18,27.2,622.12,NA
MZO,7,16,19.1,4.92,0.21,3.15,20.63,NA,2.24,249.09,27.04,21.54,621.41,NA
MZO,7,17,13.1,5.14,0.32,5.93,31.28,NA,4.39,86.08,23.84,27.51,621.23,NA
